gene	abs_delta_pool	instability_score	pooled_rank	instability_rank	rank_displacement	masked
RvY_07877-1	0.167366940414622	2.98421124026877	10022	1	10021	FALSE
RvY_02420-1	1.26393863583912	2.98399032893322	151	2	149	FALSE
RvY_03909	0.62663031582501	2.89892551065453	2056	3	2053	FALSE
RvY_01282-1	0.533812998204413	2.89428418188808	2933	4	2929	FALSE
RvY_19428-1	1.09937359829352	2.8877444926789	295	5	290	FALSE
RvY_02443-1	0.980163067100305	2.8458683213273	499	6	493	FALSE
RvY_15742-1	0.919396156440039	2.80365211618762	646	7	639	FALSE
RvY_07465-1	0.963121602198678	2.74216256420817	539	8	531	FALSE
RvY_11878-1	1.03063956840272	2.69928713260976	404	9	395	FALSE
RvY_02824-1	0.690761092323072	2.6665925801061	1614	10	1604	FALSE
RvY_16120	0.541398479352299	2.66632171378228	2833	11	2822	FALSE
RvY_04438-1	0.800757626996101	2.66253423639105	1077	12	1065	FALSE
RvY_14730-1	0.0560235148508808	2.63613368160566	13398	13	13385	TRUE
RvY_19217-1	0.435794054937405	2.63359560749005	4213	14	4199	FALSE
RvY_09977	0.501035390305224	2.62299480378051	3292	15	3277	FALSE
RvY_02617	0.862982182184449	2.59970803310724	814	16	798	FALSE
RvY_14133	0.0286955170327365	2.59927719648901	14303	17	14286	TRUE
RvY_19489-1	0.244448463369943	2.57465397307096	7991	18	7973	FALSE
RvY_05756-1	0.312773578119497	2.54635449910063	6436	19	6417	FALSE
RvY_00460-1	0.767547146149676	2.51835612161483	1208	20	1188	FALSE
RvY_06540-1	0.0271045718848661	2.51539484112141	14357	21	14336	TRUE
RvY_17121-1	0.248534825310947	2.5151461658675	7902	22	7880	FALSE
RvY_19669-1	0.159120503187626	2.51167452116751	10231	23	10208	FALSE
RvY_10593-1	0.755173398196654	2.50055310391229	1273	24	1249	FALSE
RvY_01202	0.892298141948102	2.49119630526914	733	25	708	FALSE
RvY_13378-1	0.900442908263096	2.4505139152716	700	26	674	FALSE
RvY_12589-1	0.933215620880673	2.43608101025165	611	27	584	FALSE
RvY_12426-1	0.62327006464966	2.42469030659064	2087	28	2059	FALSE
RvY_05865-1	0.68932251747201	2.42179044528203	1625	29	1596	FALSE
RvY_08410	0.219009287918429	2.42045688683001	8625	30	8595	FALSE
RvY_18994-1	0.385418278063803	2.41197089286501	4992	31	4961	FALSE
RvY_14535-1	0.646952198146249	2.41177847308871	1906	32	1874	FALSE
RvY_10290	0.132268757733893	2.39316061348046	10989	33	10956	FALSE
RvY_03382	0.224402701271761	2.38782192568631	8484	34	8450	FALSE
RvY_04310-1	1.08717970359914	2.3517747870655	307	35	272	FALSE
RvY_01734-1	0.101284295376165	2.34549675573988	11928	36	11892	TRUE
RvY_13663-1	0.0613271308160739	2.34374531955413	13203	37	13166	TRUE
RvY_03054	0.222661672428902	2.33898693436979	8536	38	8498	FALSE
RvY_18153-1	0.0187189601618254	2.33359642086745	14613	39	14574	TRUE
RvY_03078-1	0.238584964370935	2.30738473157049	8133	40	8093	FALSE
RvY_11656-1	0.710765757026332	2.30136125236365	1494	41	1453	FALSE
RvY_16778-1	0.958440794706404	2.29209035034318	549	42	507	FALSE
RvY_03711-1	0.171458494632748	2.29190769556979	9897	43	9854	FALSE
RvY_17009-1	0.971270996813696	2.28123814619344	514	44	470	FALSE
RvY_01402-1	0.0236178691290201	2.27234212830339	14460	45	14415	TRUE
RvY_11683-1	0.911868211565179	2.27086520404342	661	46	615	FALSE
RvY_13098-1	0.461706391101504	2.26842883670518	3826	47	3779	FALSE
RvY_04007	0.936876074225846	2.26397169045025	605	48	557	FALSE
RvY_08139-1	0.226745952931013	2.26179709994798	8442	49	8393	FALSE
RvY_16041	0.218371571176982	2.26160789482225	8642	50	8592	FALSE
RvY_19360-1	0.130745948963201	2.2572664822046	11041	51	10990	FALSE
RvY_07969-1	0.434171976419327	2.24389958449744	4232	52	4180	FALSE
RvY_17911-1	0.563481081169314	2.23601041086264	2615	53	2562	FALSE
RvY_02577-1	0.00793932494116234	2.23588100438094	14958	54	14904	TRUE
RvY_10077-1	0.5314778274314	2.23043137613887	2958	55	2903	FALSE
