gene,category,gene_base
RvY_07877-1,Instability-only,RvY_07877
RvY_02420-1,Instability-only,RvY_02420
RvY_03909,Instability-only,RvY_03909
RvY_01282-1,Instability-only,RvY_01282
RvY_19428-1,Instability-only,RvY_19428
RvY_02443-1,Instability-only,RvY_02443
RvY_15742-1,Instability-only,RvY_15742
RvY_07465-1,Instability-only,RvY_07465
RvY_11878-1,Instability-only,RvY_11878
RvY_02824-1,Instability-only,RvY_02824
RvY_16120,Instability-only,RvY_16120
RvY_04438-1,Instability-only,RvY_04438
RvY_14730-1,Instability-only,RvY_14730
RvY_19217-1,Instability-only,RvY_19217
RvY_09977,Instability-only,RvY_09977
RvY_02617,Instability-only,RvY_02617
RvY_14133,Instability-only,RvY_14133
RvY_19489-1,Instability-only,RvY_19489
RvY_05756-1,Instability-only,RvY_05756
RvY_00460-1,Instability-only,RvY_00460
RvY_06540-1,Instability-only,RvY_06540
RvY_17121-1,Instability-only,RvY_17121
RvY_19669-1,Instability-only,RvY_19669
RvY_10593-1,Instability-only,RvY_10593
RvY_01202,Instability-only,RvY_01202
RvY_13378-1,Instability-only,RvY_13378
RvY_12589-1,Instability-only,RvY_12589
RvY_12426-1,Instability-only,RvY_12426
RvY_05865-1,Instability-only,RvY_05865
RvY_08410,Instability-only,RvY_08410
RvY_18994-1,Instability-only,RvY_18994
RvY_14535-1,Instability-only,RvY_14535
RvY_10290,Instability-only,RvY_10290
RvY_03382,Instability-only,RvY_03382
RvY_04310-1,Instability-only,RvY_04310
RvY_01734-1,Instability-only,RvY_01734
RvY_13663-1,Instability-only,RvY_13663
RvY_03054,Instability-only,RvY_03054
RvY_18153-1,Instability-only,RvY_18153
RvY_03078-1,Instability-only,RvY_03078
RvY_11656-1,Instability-only,RvY_11656
RvY_16778-1,Instability-only,RvY_16778
RvY_03711-1,Instability-only,RvY_03711
RvY_17009-1,Instability-only,RvY_17009
RvY_01402-1,Instability-only,RvY_01402
RvY_11683-1,Instability-only,RvY_11683
RvY_13098-1,Instability-only,RvY_13098
RvY_04007,Instability-only,RvY_04007
RvY_08139-1,Instability-only,RvY_08139
RvY_16041,Instability-only,RvY_16041
RvY_19360-1,Instability-only,RvY_19360
RvY_07969-1,Instability-only,RvY_07969
RvY_17911-1,Instability-only,RvY_17911
RvY_02577-1,Instability-only,RvY_02577
RvY_10077-1,Instability-only,RvY_10077
RvY_17017-1,Instability-only,RvY_17017
RvY_00302-1,Instability-only,RvY_00302
RvY_06583,Instability-only,RvY_06583
RvY_10146-1,Instability-only,RvY_10146
RvY_13484,Instability-only,RvY_13484
RvY_17613,Instability-only,RvY_17613
RvY_17169-1,Instability-only,RvY_17169
RvY_16508-1,Instability-only,RvY_16508
RvY_07351-1,Instability-only,RvY_07351
RvY_07904,Instability-only,RvY_07904
RvY_06298-1,Instability-only,RvY_06298
RvY_12845-1,Instability-only,RvY_12845
RvY_14824-1,Instability-only,RvY_14824
RvY_14697-1,Instability-only,RvY_14697
RvY_08869-1,Instability-only,RvY_08869
RvY_04206,Instability-only,RvY_04206
RvY_15840-1,Instability-only,RvY_15840
RvY_02643,Instability-only,RvY_02643
RvY_16446,Instability-only,RvY_16446
RvY_05282-1,Instability-only,RvY_05282
RvY_16695,Instability-only,RvY_16695
RvY_07093,Instability-only,RvY_07093
RvY_12836-1,Instability-only,RvY_12836
RvY_12517-1,Instability-only,RvY_12517
RvY_17673-1,Instability-only,RvY_17673
RvY_03476-1,Instability-only,RvY_03476
RvY_01840,Instability-only,RvY_01840
RvY_03547,Instability-only,RvY_03547
RvY_17919,Instability-only,RvY_17919
RvY_04400,Instability-only,RvY_04400
RvY_00941-1,Instability-only,RvY_00941
RvY_09765-1,Instability-only,RvY_09765
RvY_15640-1,Instability-only,RvY_15640
RvY_12270-1,Instability-only,RvY_12270
RvY_19358-1,Instability-only,RvY_19358
RvY_04048,Instability-only,RvY_04048
RvY_09162-1,Instability-only,RvY_09162
RvY_00844-1,Instability-only,RvY_00844
RvY_08684-1,Instability-only,RvY_08684
RvY_09669-1,Instability-only,RvY_09669
RvY_04191,Instability-only,RvY_04191
RvY_07189-1,Instability-only,RvY_07189
RvY_13800,Instability-only,RvY_13800
RvY_13181-1,Instability-only,RvY_13181
RvY_09004-1,Instability-only,RvY_09004
