gene,category,protein_id,protein_extracted
RvY_07877-1,Instability-only,GAU96428.1,TRUE
RvY_02420-1,Instability-only,GAU89928.1,TRUE
RvY_03909,Instability-only,GAU91702.1,TRUE
RvY_01282-1,Instability-only,GAU88613.1,TRUE
RvY_19428-1,Instability-only,GAV09949.1,TRUE
RvY_02443-1,Instability-only,GAU89953.1,TRUE
RvY_15742-1,Instability-only,GAV05642.1,TRUE
RvY_07465-1,Instability-only,GAU95949.1,TRUE
RvY_11878-1,Instability-only,GAV01117.1,TRUE
RvY_02824-1,Instability-only,GAU90404.1,TRUE
RvY_16120,Instability-only,GAV06085.1,TRUE
RvY_04438-1,Instability-only,GAU92345.1,TRUE
RvY_14730-1,Instability-only,GAV04458.1,TRUE
RvY_19217-1,Instability-only,GAV09728.1,TRUE
RvY_09977,Instability-only,GAU98895.1,TRUE
RvY_02617,Instability-only,GAU90157.1,TRUE
RvY_14133,Instability-only,GAV03750.1,TRUE
RvY_19489-1,Instability-only,GAV10004.1,TRUE
RvY_05756-1,Instability-only,GAU93891.1,TRUE
RvY_00460-1,Instability-only,GAU87645.1,TRUE
RvY_06540-1,Instability-only,GAU94830.1,TRUE
RvY_17121-1,Instability-only,GAV07261.1,TRUE
RvY_19669-1,Instability-only,GAV10094.1,TRUE
RvY_10593-1,Instability-only,GAU99625.1,TRUE
RvY_01202,Instability-only,GAU88515.1,TRUE
RvY_13378-1,Instability-only,GAV02866.1,TRUE
RvY_12589-1,Instability-only,GAV01966.1,TRUE
RvY_12426-1,Instability-only,GAV01768.1,TRUE
RvY_05865-1,Instability-only,GAU94017.1,TRUE
RvY_08410,Instability-only,GAU97050.1,TRUE
RvY_18994-1,Instability-only,GAV09450.1,TRUE
RvY_14535-1,Instability-only,GAV04223.1,TRUE
RvY_10290,Instability-only,GAU99261.1,TRUE
RvY_03382,Instability-only,GAU91053.1,TRUE
RvY_04310-1,Instability-only,GAU92197.1,TRUE
RvY_01734-1,Instability-only,GAU89150.1,TRUE
RvY_13663-1,Instability-only,GAV03204.1,TRUE
RvY_03054,Instability-only,GAU90668.1,TRUE
RvY_18153-1,Instability-only,GAV08470.1,TRUE
RvY_03078-1,Instability-only,GAU90698.1,TRUE
RvY_11656-1,Instability-only,GAV00868.1,TRUE
RvY_16778-1,Instability-only,GAV06863.1,TRUE
RvY_03711-1,Instability-only,GAU91465.1,TRUE
RvY_17009-1,Instability-only,GAV07133.1,TRUE
RvY_01402-1,Instability-only,GAU88765.1,TRUE
RvY_11683-1,Instability-only,GAV00898.1,TRUE
RvY_13098-1,Instability-only,GAV02551.1,TRUE
RvY_04007,Instability-only,GAU91823.1,TRUE
RvY_08139-1,Instability-only,GAU96740.1,TRUE
RvY_16041,Instability-only,GAV05997.1,TRUE
RvY_19360-1,Instability-only,GAV09893.1,TRUE
RvY_07969-1,Instability-only,GAU96539.1,TRUE
RvY_17911-1,Instability-only,GAV08180.1,TRUE
RvY_02577-1,Instability-only,GAU90111.1,TRUE
RvY_10077-1,Instability-only,GAU99016.1,TRUE
RvY_17017-1,Instability-only,GAV07142.1,TRUE
RvY_00302-1,Instability-only,GAU87467.1,TRUE
RvY_06583,Instability-only,GAU94879.1,TRUE
RvY_10146-1,Instability-only,GAU99102.1,TRUE
RvY_13484,Instability-only,GAV02991.1,TRUE
RvY_17613,Instability-only,GAV07822.1,TRUE
RvY_17169-1,Instability-only,GAV07323.1,TRUE
RvY_16508-1,Instability-only,GAV06540.1,TRUE
RvY_07351-1,Instability-only,GAU95796.1,TRUE
RvY_07904,Instability-only,GAU96462.1,TRUE
RvY_06298-1,Instability-only,GAU94543.1,TRUE
RvY_12845-1,Instability-only,GAV02254.1,TRUE
RvY_14824-1,Instability-only,GAV04557.1,TRUE
RvY_14697-1,Instability-only,GAV04418.1,TRUE
RvY_08869-1,Instability-only,GAU97596.1,TRUE
RvY_04206,Instability-only,GAU92071.1,TRUE
RvY_15840-1,Instability-only,GAV05760.1,TRUE
RvY_02643,Instability-only,GAU90190.1,TRUE
RvY_16446,Instability-only,GAV06458.1,TRUE
RvY_05282-1,Instability-only,GAU93322.1,TRUE
RvY_16695,Instability-only,GAV06762.1,TRUE
RvY_07093,Instability-only,GAU95481.1,TRUE
RvY_12836-1,Instability-only,GAV02245.1,TRUE
RvY_12517-1,Instability-only,GAV01878.1,TRUE
RvY_17673-1,Instability-only,GAV07893.1,TRUE
RvY_03476-1,Instability-only,GAU91167.1,TRUE
RvY_01840,Instability-only,GAU89271.1,TRUE
RvY_03547,Instability-only,GAU91254.1,TRUE
RvY_17919,Instability-only,GAV08188.1,TRUE
RvY_04400,Instability-only,GAU92302.1,TRUE
RvY_00941-1,Instability-only,GAU88198.1,TRUE
RvY_09765-1,Instability-only,GAU98646.1,TRUE
RvY_15640-1,Instability-only,GAV05520.1,TRUE
RvY_12270-1,Instability-only,GAV01581.1,TRUE
RvY_19358-1,Instability-only,GAV09891.1,TRUE
RvY_04048,Instability-only,GAU91871.1,TRUE
RvY_09162-1,Instability-only,GAU97944.1,TRUE
RvY_00844-1,Instability-only,GAU88083.1,TRUE
RvY_08684-1,Instability-only,GAU97372.1,TRUE
RvY_09669-1,Instability-only,GAU98537.1,TRUE
RvY_04191,Instability-only,GAU92045.1,TRUE
RvY_07189-1,Instability-only,GAU95593.1,TRUE
RvY_13800,Instability-only,GAV03366.1,TRUE
RvY_13181-1,Instability-only,GAV02642.1,TRUE
RvY_09004-1,Instability-only,GAU97766.1,TRUE
RvY_18462-1,Pooled-only,GAV08826.1,TRUE
RvY_18231,Pooled-only,GAV08560.1,TRUE
RvY_06255-3,Pooled-only,GAU94486.1,TRUE
RvY_03228-1,Pooled-only,GAU90869.1,TRUE
RvY_06342,Pooled-only,GAU94600.1,TRUE
RvY_16845-1,Pooled-only,GAV06937.1,TRUE
RvY_05884-1,Pooled-only,GAU94039.1,TRUE
RvY_03227-1,Pooled-only,GAU90868.1,TRUE
RvY_06734-1,Pooled-only,GAU95053.1,TRUE
RvY_05779-1,Pooled-only,GAU93916.1,TRUE
RvY_17300-1,Pooled-only,GAV07471.1,TRUE
RvY_01565-1,Pooled-only,GAU88959.1,TRUE
RvY_04051-1,Pooled-only,GAU91876.1,TRUE
RvY_03664-1,Pooled-only,GAU91406.1,TRUE
RvY_13211-1,Pooled-only,GAV02675.1,TRUE
RvY_12829,Pooled-only,GAV02237.1,TRUE
RvY_16639-1,Pooled-only,GAV06693.1,TRUE
RvY_03100-1,Pooled-only,GAU90722.1,TRUE
RvY_12499-1,Pooled-only,GAV01857.1,TRUE
RvY_16235,Pooled-only,GAV06211.1,TRUE
RvY_03082-1,Pooled-only,GAU90703.1,TRUE
RvY_08196-1,Pooled-only,GAU96809.1,TRUE
RvY_07274-1,Pooled-only,GAU95696.1,TRUE
RvY_06615-1,Pooled-only,GAU94916.1,TRUE
RvY_00468-1,Pooled-only,GAU87652.1,TRUE
RvY_17106-1,Pooled-only,GAV07244.1,TRUE
RvY_13782-1,Pooled-only,GAV03342.1,TRUE
RvY_07119,Pooled-only,GAU95515.1,TRUE
RvY_00467-1,Pooled-only,GAU87651.1,TRUE
RvY_17051-1,Pooled-only,GAV07178.1,TRUE
