gene	protein_id	raw_annotation	broad_group_auto	broad_group_figure	expert_reclassification_note	delta_pool	instability_score
RvY_14832-1	GAV04565.1	hypothetical protein; Pro-corazonin; Corazonin	Complex proteins, unresolved class	Signaling/Receptor	Neuropeptide/hormone precursor; stress-physiology signaling component	-0.0957181017613635	1.95817889884557
RvY_07245-1	GAU95662.1	hypothetical protein; Myotubularin protein; consensus disorder prediction; UNCHARACTERIZED; Uncharacterized protein KIAA0513; SBF2; MobiDBLite; PANTHER	Complex proteins, unresolved class	Signaling/Receptor	Signaling-associated phosphatase; enzyme-related but retained under signaling	-0.112687721647926	1.79584911493209
RvY_03060-1	GAU90678.1	hypothetical protein; Alpha conotoxin precursor; Toxin_8	Binding proteins	Signaling/Receptor	Bioactive binding peptide/toxin-like precursor	0.0201158545334783	1.69667304089891
RvY_14100-1	GAV03711.1	hypothetical protein; Ribosomal protein S2; consensus disorder prediction; Ribosomal_S2; MobiDBLite	RNA / translation	RNA / translation	Core ribosomal translation component	-0.00729613190143397	1.68364983133066
RvY_09464-1	GAU98300.1	hypothetical protein; SNF2-related domain; Type III restriction enzyme, res subunit; HepA-related protein (HARP); Helicase conserved C-terminal domain; ERCC3/RAD25/XPB C-terminal helicase; HepA-related protein (HARP); P-loop containing nucleoside triphosphate hydrolases; consensus disorder prediction; DEXHc_HARP_SMARCAL1; HARP domain profile.; Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile.; DNA ANNEALING HELICASE AND ENDONUCLEASE ZRANB3 FAMILY MEMBER; SNF2-related domain; Coil; ultradead3; SF2_C_SNF; HARP domain; P-loop containing nucleoside triphosphate hydrolase; SNF2-like, N-terminal domain superfamily; Helicase superfamily 1/2, ATP-binding domain; SNF2, N-terminal; SNF2/RAD5-like, C-terminal helicase domain; SNF2-rel_dom; ResIII; HARP; Helicase_C; ERCC3_RAD25_C; Pfam; SUPERFAMILY; Gene3D; MobiDBLite; CDD; ProSiteProfiles; PANTHER; Coils; SMART	Regulation/Nucleic-acid associated	Regulation/Nucleic-acid associated	DNA/RNA nuclease-associated feature	-0.0185026579404308	1.55544172243321
RvY_15329-1	GAV05157.1	hypothetical protein; DNA/RNA non-specific endonuclease; consensus disorder prediction; Endonuclea_NS_2; MobiDBLite	Regulation/Nucleic-acid associated	Regulation/Nucleic-acid associated	DNA/RNA nuclease-associated feature	-0.110641324061135	1.5190255166362
RvY_04014-1	GAU91834.1	hypothetical protein; Arthropod cardioacceleratory peptide 2a; CCAP	Signaling/Receptor	Signaling/Receptor	Neuropeptide/hormonal signaling peptide	-0.0907074493704823	1.50188623059902
RvY_19347-1	GAV09877.1	hypothetical protein; DDE superfamily endonuclease; helix-turn-helix, Psq domain; Bacterial regulatory protein, Fis family; Antitoxin Xre-like helix-turn-helix domain; Helix-turn-helix domain; helix-turn-helix, Psq domain; DDE superfamily endonuclease; TRANSPOSON; Homeodomain-like; DNA binding HTH domain, Psq-type; DDE superfamily endonuclease domain; Homeobox-like domain superfamily; DDE_1; HTH_psq; HTH_8; Xre-like-HTH; HTH_28; Pfam; PANTHER; SUPERFAMILY	Regulation/Nucleic-acid associated	Regulation/Nucleic-acid associated	DNA/RNA nuclease-associated feature	-0.0863070639238845	1.48772236012856
RvY_13694-1	GAV03242.1	hypothetical protein; XPG N-terminal domain; XPG I-region; Ubiquitin binding region; PIN_XPG_RAD2; consensus disorder prediction; DNA REPAIR PROTEIN COMPLEMENTING XP-G CELLS-RELATED; HhH_4; xpgn3; XPG N-terminal domain; Xeroderma pigmentosum group G protein signature; Xeroderma pigmentosum group G/yeast RAD superfamily signature; xpgineu; XPG protein signature 1.; XPG I-region; H3TH_XPG; PIN domain-like; 5' to 3' exonuclease, C-terminal subdomain; Helix-hairpin-helix motif, class 2; XPG, N-terminal; XPG/Rad2 endonuclease, eukaryotes; XPG/Rad2 endonuclease; XPG-I domain; XPG conserved site; PIN-like domain superfamily; 5'-3' exonuclease, C-terminal domain superfamily; XPG_N; XPG_I; UBM; CDD; MobiDBLite; PANTHER; Gene3D; SMART; Pfam; PRINTS; ProSitePatterns; SUPERFAMILY	Regulation/Nucleic-acid associated	Regulation/Nucleic-acid associated	DNA/RNA nuclease-associated feature	-0.0288128091583157	1.47196945810845
RvY_16773-1	GAV06856.1	hypothetical protein; DNA polymerase subunit Cdc27; consensus disorder prediction; CDC27; MobiDBLite	Regulation/Nucleic-acid associated	Regulation/Nucleic-acid associated	DNA polymerase-associated regulatory feature	0.0312646398300984	1.41481798280339
