gene	gene_base	protein_id	ncbi_protein_desc	match_type	delta_pool	instability_score
RvY_00229-1	NA	GAU87363.1	hypothetical protein	exact_gene	0.0466471175124816	1.29053845427097
RvY_00248	NA	GAU87388.1	hypothetical protein	exact_gene	0.0497467645702949	1.39465749548525
RvY_00301-1	NA	GAU87466.1	AQP2	exact_gene	0.102330146347211	1.57897937823884
RvY_00410-1	NA	GAU87584.1	hypothetical protein	exact_gene	-0.0208814746950843	1.22495210030081
RvY_00455-1	NA	GAU87639.1	hypothetical protein	exact_gene	-0.055456987130901	1.1726380267352
RvY_00502-1	NA	GAU87689.1	hypothetical protein	exact_gene	0.0612534178537079	1.21158407054609
RvY_00665	NA	GAU87876.1	hypothetical protein	exact_gene	0.0235790198328036	1.34517774134611
RvY_00942-1	NA	GAU88199.1	hypothetical protein	exact_gene	0.0196795434099055	1.31792039310607
RvY_00965-1	NA	GAU88225.1	hypothetical protein	exact_gene	0.10337258969214	1.19293628967535
RvY_00974-1	NA	GAU88234.1	hypothetical protein	exact_gene	-0.0917689711188601	1.30044815207165
RvY_01043-1	NA	GAU88326.1	hypothetical protein	exact_gene	-0.0957684014471125	1.20653619604899
RvY_01072-1	NA	GAU88361.1	hypothetical protein	exact_gene	0.05292679560847	1.2205658651959
RvY_01082	NA	GAU88372.1	hypothetical protein	exact_gene	0.0824303938612356	1.92042198203546
RvY_01168-1	NA	GAU88475.1	hypothetical protein	exact_gene	-0.064418146909035	1.29469137688166
RvY_01196-1	NA	GAU88509.1	hypothetical protein	exact_gene	-0.0867036950866824	1.80298329874049
RvY_01203-1	NA	GAU88517.1	hypothetical protein	exact_gene	0.0562198179885023	1.41610568914357
RvY_01294-1	NA	GAU88627.1	hypothetical protein	exact_gene	-0.0316207027633428	1.65670727608539
RvY_01336	NA	GAU88688.1	hypothetical protein	exact_gene	0.0226309438319792	1.76625116441446
RvY_01368-1	NA	GAU88729.1	hypothetical protein	exact_gene	0.0319535719347019	1.76615781031159
RvY_01375	NA	GAU88736.1	hypothetical protein	exact_gene	0.02725457230739	1.38149965442525
RvY_01402-1	NA	GAU88765.1	hypothetical protein	exact_gene	-0.0236178691290201	2.27234212830339
RvY_01459-1	NA	GAU88834.1	hypothetical protein	exact_gene	0.0900424069808379	1.30667660559549
