gene	delta_pool	hetero_gap	discordance	instability_score	var_proxy	n_timepoints
RvY_14544-1	-0.00243002347141717	5.25048062412596	0.625	8.53203101420468	3.28972689494157	8
RvY_16695	-3.29175031371217	6.0499388465595	0.125	6.80618120237944	4.11890228561174	8
RvY_03670-1	1.1814270814359	4.94730713183123	0.25	6.18413391478903	3.06763595219619	8
RvY_07189-1	6.84083796587289	5.82605339576998	0	5.82605339576998	4.56747402747229	7
RvY_06255-3	-0.455822155684856	3.86101098447669	0.375	5.30889010365545	1.71364857980225	8
RvY_14745-1	-0.332083714924078	3.49754065425414	0.5	5.24631098138121	2.0625301627569	8
RvY_06773-1	-0.219670398507389	3.19822294348353	0.625	5.19711228316074	1.43962570332014	8
RvY_17106-1	0.516010982576548	3.71353874292619	0.375	5.10611577152352	1.45719266611907	8
RvY_06616-1	-0.729432418856631	3.96642680538984	0.25	4.95803350673729	1.41553488468466	8
RvY_12151-1	0.867693072210568	3.93367985430622	0.25	4.91709981788277	2.41733113850265	8
RvY_06151-1	0.247516742071373	3.56314189822065	0.375	4.8993201100534	1.26615411549469	8
RvY_02817-1	-1.5412369207385	3.88723367265954	0.25	4.85904209082442	2.10786977140365	8
RvY_06771-1	-0.305281081938795	2.95665845385048	0.625	4.80456998750704	1.14250900765968	8
RvY_18462-1	-2.61496219655092	4.21832099125602	0.125	4.74561111516303	2.07470832451133	8
RvY_11417-1	-0.756715363209311	3.78217289705048	0.25	4.7277161213131	1.80565497457985	8
RvY_16167-1	-0.413850908701391	3.1080975431449	0.5	4.66214631471735	1.40522563412635	8
RvY_16217-1	-1.01715051886285	3.72822229490351	0.25	4.66027786862938	1.83589450635972	8
RvY_17142-1	1.22683591308769	3.70976876755173	0.25	4.63721095943966	1.55285550064371	8
RvY_16176-1	-1.95498055336921	4.12100670426726	0.125	4.63613254230066	2.11839131890179	8
RvY_07510-1	0.279760379467767	2.69936930291381	0.625	4.38647511723494	0.938485970101767	8
RvY_06279-1	-1.48187364622858	3.87515891179217	0.125	4.35955377576619	1.63421803995769	8
RvY_01082	-1.05573754324972	3.87091827900966	0.125	4.35478306388587	1.66953321682034	8
RvY_12429	-0.223631046744516	2.88637333786783	0.5	4.32956000680175	1.07460348057016	8
RvY_03854-1	-1.01062399192142	3.45801052940986	0.25	4.32251316176233	1.37718521602757	8
RvY_01052-1	0.532848776959017	3.12441582554099	0.375	4.29607176011886	1.16237755954926	8
RvY_16177-1	-1.67869089177047	3.72890744009051	0.125	4.19502087010183	1.79046291551066	8
RvY_06258-1	-0.0590994873068918	2.57159575900001	0.625	4.17884310837502	1.02153498034525	8
RvY_12512	-0.33867978271977	2.78486695316975	0.5	4.17730042975462	0.79126531419754	8
RvY_00921-1	-0.763412252738147	3.02826055875936	0.375	4.16385826829413	1.3690553948484	8
RvY_04262-1	-1.36464377712779	3.66293951169459	0.125	4.12080695065641	1.26271795263917	8
RvY_00920-1	0.359922521623672	2.72231052451323	0.5	4.08346578676985	0.689352923305606	8
RvY_04898-1	-0.108248408411431	2.70101354183743	0.5	4.05152031275614	1.22525275670891	8
RvY_11994-1	0.939442549148452	3.23549107989557	0.25	4.04436384986946	1.15996257126698	8
RvY_13436-1	0.884882541436837	3.22101525995281	0.25	4.02626907494101	1.31109510631182	8
RvY_03227-1	0.248212507418971	2.47252239483535	0.625	4.01784889160745	0.766589722101392	8
RvY_18505	0.651716875751552	3.21358191678008	0.25	4.0169773959751	1.18210579349632	8
RvY_12468-1	0.464056438877502	3.19636876497561	0.25	3.99546095621952	1.39662895896387	8
RvY_16639-1	-0.244094700033729	2.65268198841615	0.5	3.97902298262423	0.772301523885829	8
RvY_04287	0.235261817572612	2.44738120031087	0.625	3.97699445050517	0.777726920612966	8
RvY_14127-1	-0.152240449571573	2.40770269887294	0.625	3.91251688566853	0.57224230048293	8
RvY_09958-1	3.29062413526968	3.89582639633612	0	3.89582639633612	2.04882527252576	8
RvY_03745-1	-0.122138792114449	2.37662974798199	0.625	3.86202334047073	0.65732330677844	8
RvY_19296	0.199532362149785	2.35914232040647	0.625	3.83360627066052	0.745540209270048	8
RvY_14354-1	0.165276250004241	2.52007695687703	0.5	3.78011543531554	0.786558122566341	8
RvY_19540-1	0.14534188664235	2.5172500510351	0.5	3.77587507655265	0.541784165827906	8
RvY_06142-1	-0.278606602825408	2.30761087052717	0.625	3.74986766460665	0.732700546340536	8
RvY_00468-1	-0.16298757162697	2.47446141907329	0.5	3.71169212860994	0.653433435381374	8
RvY_12455-1	-0.340426697705845	2.46238758811938	0.5	3.69358138217907	0.860613015641178	8
RvY_16174-1	-1.91175534684503	3.22276951318357	0.125	3.62561570233151	1.35024490143168	8
RvY_02061-1	-0.141036334169482	2.41071412686526	0.5	3.61607119029789	1.01499968474112	8
