feature	condition	subgroup_1	subgroup_2	delta_1	delta_2	delta_pool	delta_strat	sign_flip	hetero_gap	discordance	instability_score	var_proxy
RvY_07877-1	uv	long	short	1.29622098599748	-1.55037048067828	-0.167366940414622	-0.304986714007634	TRUE	2.84659146667576	0.137619773593012	2.98421124026877	2.40902756634506
RvY_02420-1	uv	long	short	-2.65600376734889	0.144671727334623	-1.26393863583912	-1.08062380158941	TRUE	2.80067549468351	0.183314834249709	2.98399032893322	1.4990455219704
RvY_03909	uv	long	short	2.02896994742927	-0.723839743616355	0.62663031582501	0.480514496216104	TRUE	2.75280969104562	0.146115819608906	2.89892551065453	0.751638585513497
RvY_01282-1	uv	long	short	-1.94235065762727	0.81145532081173	-0.533812998204413	-0.393334794755335	TRUE	2.753805978439	0.140478203449078	2.89428418188808	2.08502609219136
RvY_19428-1	uv	long	short	2.46982617366974	-0.255419949885535	1.09937359829352	0.936875229169896	TRUE	2.72524612355527	0.162498369123628	2.8877444926789	0.960973674317403
RvY_02443-1	uv	long	short	2.36081708235349	-0.344157213058019	0.980163067100305	0.839269041184518	TRUE	2.70497429541151	0.140894025915787	2.8458683213273	0.818984997807285
RvY_15742-1	uv	long	short	2.26844208460083	-0.389284663782151	0.919396156440039	0.773470788635403	TRUE	2.65772674838298	0.145925367804636	2.80365211618762	0.60719615921671
RvY_07465-1	uv	long	short	-2.31423157732156	0.305462847850317	-0.963121602198678	-0.840653463162378	TRUE	2.61969442517187	0.1224681390363	2.74216256420817	2.15831661932145
RvY_11878-1	uv	long	short	2.3017348386992	-0.239309899160792	1.03063956840272	0.872397173652954	TRUE	2.54104473785999	0.158242394749766	2.69928713260976	0.924937672923272
RvY_02824-1	uv	long	short	1.9277272726687	-0.570550334020407	0.690761092323072	0.522446118906077	TRUE	2.49827760668911	0.168314973416995	2.6665925801061	0.775589069388186
RvY_16120	uv	long	short	1.79529125382685	-0.713646018657522	0.541398479352299	0.384014038054391	TRUE	2.50893727248437	0.157384441297908	2.66632171378228	0.601241072068732
RvY_04438-1	uv	long	short	-2.05239956679358	0.452673185967078	-0.800757626996101	-0.643296143365711	TRUE	2.50507275276066	0.15746148363039	2.66253423639105	1.3661795767478
RvY_14730-1	uv	long	short	-1.31302042182357	1.17858315486658	-0.0560235148508808	0.0885065900646369	TRUE	2.49160357669015	0.144530104915518	2.63613368160566	0.777810045464628
RvY_19217-1	uv	long	short	1.69866464763471	-0.795073720485201	0.435794054937405	0.295936815567258	TRUE	2.49373836811991	0.139857239370147	2.63359560749005	0.486348205406614
RvY_09977	uv	long	short	1.76184502704595	-0.723789814887639	0.501035390305224	0.363675428458306	TRUE	2.48563484193359	0.137359961846917	2.62299480378051	0.857242799393635
RvY_02617	uv	long	short	-2.10643911433191	0.3531864634311	-0.862982182184449	-0.722899726840215	TRUE	2.45962557776301	0.140082455344234	2.59970803310724	0.693386618879692
RvY_14133	uv	long	short	1.24020043561966	-1.23543037983084	-0.0286955170327365	-0.152341898071244	TRUE	2.4756308154505	0.123646381038508	2.59927719648901	0.726223397772376
RvY_19489-1	uv	long	short	-1.55542180551514	0.931379676223201	-0.244448463369943	-0.156595972037323	TRUE	2.48680148173834	0.0878524913326197	2.57465397307096	1.49413645016141
RvY_05756-1	uv	long	short	1.5905336860158	-0.856899662462237	0.312773578119497	0.213852427496906	TRUE	2.44743334847804	0.098921150622591	2.54635449910063	0.963503067774575
RvY_00460-1	uv	long	short	-1.94451576204776	0.420492069960504	-0.767547146149676	-0.61419885654311	TRUE	2.36500783200826	0.153348289606566	2.51835612161483	1.5551991308639
RvY_06540-1	uv	long	short	-1.1776144315701	1.16856457694615	-0.0271045718848661	0.142111260720289	TRUE	2.34617900851625	0.169215832605155	2.51539484112141	0.824265749059326
RvY_17121-1	uv	long	short	-1.42463976823	0.937760941393392	-0.248534825310947	-0.0957893690668432	TRUE	2.36240070962339	0.152745456244104	2.5151461658675	1.05929266355175
RvY_19669-1	uv	long	short	1.3900193894975	-1.00522759128803	0.159120503187626	0.0426929628056378	TRUE	2.39524698078553	0.116427540381989	2.51167452116751	1.36933114601092
RvY_10593-1	uv	long	short	1.99396193732737	-0.399216714220155	0.755173398196654	0.647798945831888	TRUE	2.39317865154753	0.107374452364766	2.50055310391229	0.807107142070303
RvY_01202	uv	long	short	0.335153322868105	-2.04478124998652	-0.892298141948102	-1.00355987436262	TRUE	2.37993457285462	0.111261732414518	2.49119630526914	0.660759397667221
RvY_13378-1	uv	long	short	2.06584878029343	-0.248339883579804	0.900442908263096	0.764117656864738	TRUE	2.31418866387324	0.136325251398358	2.4505139152716	0.905353499926672
RvY_12589-1	uv	long	short	-2.08153276782776	0.212482052779432	-0.933215620880673	-0.791149431236213	TRUE	2.29401482060719	0.14206618964446	2.43608101025165	0.747089012826088
RvY_12426-1	uv	long	short	1.77946372361548	-0.512302014340655	0.62327006464966	0.490345496015155	TRUE	2.29176573795614	0.132924568634505	2.42469030659064	0.833874717567606
RvY_05865-1	uv	long	short	1.82479510134339	-0.451853237314791	0.68932251747201	0.544180410848162	TRUE	2.27664833865818	0.145142106623848	2.42179044528203	2.13999589431698
RvY_08410	uv	long	short	1.36670368884094	-0.916913135320672	0.219009287918429	0.0821692252500312	TRUE	2.28361682416161	0.136840062668398	2.42045688683001	0.790220686116211
RvY_18994-1	uv	long	short	-1.55606376691456	0.736810717383527	-0.385418278063803	-0.266321869496888	TRUE	2.29287448429809	0.119096408566915	2.41197089286501	0.843207030313214
