gene	n_timepoints	delta_pool	hetero_gap	discordance	instability_score	var_proxy
atp6	8	-0.734734081665628	1.33489515164063	0	1.33489515164063	0.166684867232886
atp8	8	0.890862496172804	1.83438338381941	0.25	2.29297922977427	0.51287635766007
cob	8	-0.560201109270377	0.741039691267216	0	0.741039691267216	0.0629843329057069
cox1	8	-0.296314871468917	0.802934494729141	0.125	0.903301306570283	0.0711719166458736
cox2	8	-0.717561092039351	1.1371797694153	0	1.1371797694153	0.117221222891793
cox3	8	-0.647301242736239	0.893027342952223	0	0.893027342952223	0.0823514434004281
nad1	8	-0.632077925550578	1.20600894099638	0	1.20600894099638	0.160834297552814
nad2	8	-1.10236512737234	1.37546248662561	0	1.37546248662561	0.204397762596796
nad3	8	-1.13014148312698	1.68310588598137	0	1.68310588598137	0.243837595133614
nad4	8	-0.74220238327691	1.10819419672739	0	1.10819419672739	0.132135399608344
nad4L	8	0.497189843160601	1.51902215897913	0.25	1.89877769872391	0.293538452866687
nad5	8	-0.38492269838149	1.06213317989706	0.25	1.32766647487132	0.161247918292509
nad6	8	-1.17823121218229	1.72348649769762	0	1.72348649769762	0.255372753818746
RvY_00001-1	8	0.432415794461327	0.531404797911964	0	0.531404797911964	0.0297896702933188
RvY_00005	8	-0.400325606323615	0.526291516346435	0	0.526291516346435	0.0404772287030283
RvY_00006-1	8	-0.226266473783898	0.7880328474512	0.25	0.985041059314	0.0741232011121604
RvY_00008-1	8	0.223615837071212	0.544940395597668	0.125	0.613057945047376	0.0251907632804646
RvY_00009-1	8	-0.157449503690105	0.594686235134587	0.25	0.743357793918234	0.0532233950430951
RvY_00010-1	8	0.115985080895297	0.494575815520406	0.25	0.618219769400508	0.027046962677196
RvY_00020-1	8	-0.301756211976383	0.421962804764307	0.125	0.474708155359845	0.0238261141255585
RvY_00021-1	8	-0.0659808375045698	0.841545271540614	0.375	1.15712474836834	0.0742337434412103
RvY_00022-1	8	-0.252870294006327	0.698513326573209	0	0.698513326573209	0.0509841569404402
RvY_00023	8	0.450801266184926	0.837081894422498	0.125	0.94171713122531	0.0625024931210847
RvY_00024-1	8	0.33819480973819	0.36178549486853	0	0.36178549486853	0.0186263131152957
RvY_00025-1	8	0.663847269176813	0.653016293709547	0	0.653016293709547	0.0401749098076618
RvY_00026-1	8	-0.0967445393536118	0.872007956192174	0.25	1.09000994524022	0.0831818472888144
RvY_00030-1	8	-0.357891462854397	0.803415015729432	0	0.803415015729432	0.0753010801469661
RvY_00031-1	8	0.0412235390854172	0.302134178678791	0.5	0.453201268018186	0.0163619035105568
RvY_00033-1	8	-0.0445885977385175	0.648363476176559	0.375	0.891499779742768	0.0510320883291581
RvY_00034-1	8	0.153025872711195	0.658789502309151	0.375	0.905835565675083	0.0527729943465774
RvY_00035-1	8	0.172779521188412	0.8260718522133	0.375	1.13584879679329	0.097871230647589
RvY_00037-1	8	0.179286254963989	0.709634567273933	0.25	0.887043209092416	0.0769386947128611
RvY_00039	8	0.130923866519294	0.647053678873608	0.625	1.05146222816961	0.0571823052457529
