feature	rank_strat	rank_pool	abs_rank_diff	signed_rank_diff	condition	x
RvY_00001-1	4479	1044	3435	-3435	des	3.5360531551592
RvY_00005	4630	5153	523	523	des	2.71933128698373
RvY_00006-1	3719	9863	6144	6144	des	3.78852188722247
RvY_00008-1	1342	9864	8522	8522	des	3.9305924884426
RvY_00009-1	9859	9865	6	6	des	0.845098040014257
RvY_00010-1	2242	9866	7624	7624	des	3.88223984801882
RvY_00011-1	2523	5154	2631	2631	des	3.42028588494192
RvY_00012-1	4802	9867	5065	5065	des	3.70466518545453
RvY_00020-1	9152	9868	716	716	des	2.8555191556678
RvY_00021-1	8388	5155	3233	-3233	des	3.50974001557038
RvY_00022-1	8950	1045	7905	-7905	des	3.89795681000695
RvY_00023	6735	9869	3134	3134	des	3.49623754516674
RvY_00024-1	5748	9870	4122	4122	des	3.61521333480136
RvY_00025-1	981	1046	65	65	des	1.81954393554187
RvY_00026-1	6755	1047	5708	-5708	des	3.75656004300668
RvY_00030-1	2679	5156	2477	2477	des	3.39410130204004
RvY_00031-1	8550	1048	7502	-7502	des	3.87523494645017
RvY_00033-1	7837	5157	2680	-2680	des	3.42829681398288
RvY_00034-1	8716	5158	3558	-3558	des	3.55132798800385
RvY_00035-1	12098	5159	6939	-6939	des	3.84135947045486
RvY_00037-1	9744	5160	4584	-4584	des	3.66133934000604
RvY_00039	10157	9871	286	-286	des	2.45788189673399
RvY_00042-1	9594	5161	4433	-4433	des	3.64679568877847
RvY_00044-1	1030	9872	8842	8842	des	3.94659962501513
RvY_00045-1	7483	5162	2321	-2321	des	3.36586221540256
RvY_00046-1	11075	9873	1202	-1202	des	3.08026562733985
RvY_00047-1	10702	9874	828	-828	des	2.91855453055027
RvY_00049-1	1658	1049	609	-609	des	2.78532983501077
RvY_00056-1	4545	9875	5330	5330	des	3.72680868252496
RvY_00060-1	12175	9876	2299	-2299	des	3.36172783601759
RvY_00061-1	3388	9877	6489	6489	des	3.81224469680037
RvY_00062	11808	5163	6645	-6645	des	3.82256033694269
RvY_00063-1	456	10	446	-446	des	2.65030752313194
RvY_00064-1	14361	1050	13311	-13311	des	4.12424330894665
RvY_00066	5548	5164	384	-384	des	2.5854607295085
RvY_00067-1	10757	9878	879	-879	des	2.94448267215017
RvY_00068-1	5158	5165	7	7	des	0.903089986991944
RvY_00070-1	1762	9879	8117	8117	des	3.90944904698127
RvY_00071-1	2125	9880	7755	7755	des	3.88963780040667
RvY_00072-1	9298	1051	8247	-8247	des	3.91634865227546
RvY_00073-1	10926	1052	9874	-9874	des	3.9945371042985
RvY_00074	4294	5166	872	872	des	2.94101424370557
RvY_00075-1	5950	9881	3931	3931	des	3.5946135091601
RvY_00076-1	4684	5167	483	483	des	2.68484536164441
RvY_00077-1	12495	5168	7327	-7327	des	3.86498546065979
RvY_00078-1	6966	5169	1797	-1797	des	3.25478968739721
RvY_00081	6227	5170	1057	-1057	des	3.02448566769917
RvY_00082-1	1357	9882	8525	8525	des	3.93074532831111
RvY_00083-1	2508	9883	7375	7375	des	3.86782090804557
RvY_00086	2852	9884	7032	7032	des	3.84714061741341
RvY_00087-1	11677	5171	6506	-6506	des	3.81338080673386
RvY_00090-1	13161	9885	3276	-3276	des	3.51547644138238
RvY_00093-1	10010	5172	4838	-4838	des	3.68475562210862
RvY_00094-1	14335	9886	4449	-4449	des	3.64836001098093
RvY_00095-1	14363	5173	9190	-9190	des	3.96336276610374
RvY_00096-1	6201	9887	3686	3686	des	3.56667313760612
RvY_00097-1	381	5174	4793	4793	des	3.68069802969764
RvY_00098-1	10363	1053	9310	-9310	des	3.96899632664831
RvY_00099-1	11053	1054	9999	-9999	des	4
RvY_00102-1	6281	5175	1106	-1106	des	3.04414762087872
RvY_00104-1	12945	5176	7769	-7769	des	3.89042101880091
RvY_00111-1	5679	9888	4209	4209	des	3.62428209583567
RvY_00112-1	6457	5177	1280	-1280	des	3.10754912974469
RvY_00117-1	11424	5178	6246	-6246	des	3.79567150594602
RvY_00118-1	2327	5179	2852	2852	des	3.45530177165708
RvY_00120-2	14356	1055	13301	-13301	des	4.12391694349813
RvY_00121-1	12123	5180	6943	-6943	des	3.84160971216844
RvY_00122-1	14460	11	14449	-14449	des	4.15986784709257
RvY_00123	4514	1056	3458	-3458	des	3.53895056201436
RvY_00124-1	7994	12	7982	-7982	des	3.90216612927105
RvY_00126-1	11507	5181	6326	-6326	des	3.80119783445915
RvY_00127-1	3323	9889	6566	6566	des	3.81736701628759
RvY_00129-1	13621	1057	12564	-12564	des	4.09916249292859
RvY_00130-1	14450	5182	9268	-9268	des	3.9670328821587
RvY_00131-1	10971	13	10958	-10958	des	4.03977092693158
RvY_00132-1	214	753	539	539	des	2.73239375982297
RvY_00133-1	676	9890	9214	9214	des	3.96449533955509
RvY_00135-1	3155	5183	2028	2028	des	3.30728204703335
RvY_00137	3121	5184	2063	2063	des	3.31470969295517
RvY_00140-1	3723	5185	1462	1462	des	3.16524432612531
RvY_00141-1	5607	5186	421	-421	des	2.62531245096167
RvY_00142-1	2696	754	1942	-1942	des	3.28847280059978
RvY_00143-1	1184	5187	4003	4003	des	3.60249406880728
RvY_00144-1	8691	9891	1200	1200	des	3.07954300740291
RvY_00146-1	4389	5188	799	799	des	2.90308998699194
RvY_00147	7880	5189	2691	-2691	des	3.43007505555194
RvY_00149-1	11413	5190	6223	-6223	des	3.79406958398163
RvY_00154-1	2586	1058	1528	-1528	des	3.18440748541232
RvY_00158-1	8576	1059	7517	-7517	des	3.87610232137779
RvY_00161-1	2353	9892	7539	7539	des	3.87737134586977
RvY_00163-1	269	5191	4922	4922	des	3.69222983577276
RvY_00165-1	1010	9893	8883	8883	des	3.94860854987644
RvY_00166-1	718	1060	342	342	des	2.53529412004277
RvY_00169-1	7337	1061	6276	-6276	des	3.79775212865071
RvY_00170-1	1530	1062	468	-468	des	2.67117284271508
RvY_00171-1	12375	5192	7183	-7183	des	3.85636632365925
RvY_00172	4755	9894	5139	5139	des	3.71096311899528
RvY_00173-1	8684	5193	3491	-3491	des	3.54307423503353
RvY_00174-1	10336	14	10322	-10322	des	4.01380592734059
RvY_00178-1	7730	9895	2165	2165	des	3.3356584522893
RvY_00179-1	14998	1063	13935	-13935	des	4.14413813766359
RvY_00181	5391	5194	197	-197	des	2.29666519026153
RvY_00182-1	1709	5195	3486	3486	des	3.54245194737598
RvY_00183-1	8090	1064	7026	-7026	des	3.84676995353722
RvY_00184-1	10918	1065	9853	-9853	des	3.99361255793889
RvY_00185-1	1636	5196	3560	3560	des	3.55157197367425
RvY_00186-1	8611	1066	7545	-7545	des	3.87771680086498
RvY_00187-1	9642	9896	254	254	des	2.40654018043396
RvY_00188-1	2898	5197	2299	2299	des	3.36172783601759
RvY_00190-1	2873	5198	2325	2325	des	3.36660971039243
RvY_00191	13024	9897	3127	-3127	des	3.49526674438781
RvY_00192	10786	9898	888	-888	des	2.94890176097021
RvY_00193-1	2282	9899	7617	7617	des	3.88184096832493
RvY_00194-1	4425	1067	3358	-3358	des	3.52621000384166
RvY_00195	1614	1068	546	-546	des	2.73798732633343
RvY_00196-1	6628	9900	3272	3272	des	3.514946005308
RvY_00197-1	8970	9901	931	931	des	2.96941591235398
RvY_00198	10405	5199	5206	-5206	des	3.71658757767569
RvY_00199-1	4378	9902	5524	5524	des	3.74233228235715
RvY_00200-1	9619	9903	284	284	des	2.45484486000851
RvY_00201-1	14348	1069	13279	-13279	des	4.123198075032
RvY_00202	7515	9904	2389	2389	des	3.37839790094814
RvY_00203-1	4644	1070	3574	-3574	des	3.5532760461371
RvY_00206	9154	5200	3954	-3954	des	3.5971464878337
RvY_00208-1	5735	1071	4664	-4664	des	3.66885164808252
RvY_00209	8027	1072	6955	-6955	des	3.84235957333068
RvY_00210-1	12388	1073	11315	-11315	des	4.05369293878495
RvY_00211	12793	5201	7592	-7592	des	3.88041339987792
RvY_00212-1	894	1074	180	180	des	2.25767857486918
RvY_00217	12124	5202	6922	-6922	des	3.84029433161144
RvY_00222-1	3743	9905	6162	6162	des	3.78979216773068
RvY_00224-1	9027	5203	3824	-3824	des	3.58263143948964
RvY_00228-1	6815	1	6814	-6814	des	3.83346586017069
RvY_00229-1	8471	5204	3267	-3267	des	3.51428204786038
RvY_00230-1	12668	9906	2762	-2762	des	3.44138088491651
RvY_00231-1	7977	9907	1930	1930	des	3.2857822737794
RvY_00232	2373	1075	1298	-1298	des	3.11360915107303
RvY_00233-1	6829	5205	1624	-1624	des	3.21085336531489
RvY_00234-1	13611	1076	12535	-12535	des	4.09815898346053
RvY_00235-1	2661	1077	1584	-1584	des	3.20002926655377
RvY_00236	4045	1078	2967	-2967	des	3.47246389660699
