condition	K	j_gap_vs_dis	j_gap_vs_comb	j_dis_vs_comb	flip_rate_in_top_comb	median_abs_pool_minus_strat_in_top_comb	median_hetero_gap_in_top_comb	median_discordance_in_top_comb
des	50	0	1	0	0.24	0	3.62592915057949	6.66133814775094e-16
des	100	0.0050251256281407	1	0.0050251256281407	0.3	0	3.26842591262356	6.66133814775094e-16
des	200	0.0101010101010101	1	0.0101010101010101	0.27	0	2.75922963130191	8.88178419700125e-16
des	500	0.0235414534288639	1	0.0235414534288639	0.32	0	2.2043240579172	4.44089209850063e-16
des	1000	0.0476689366160293	1	0.0476689366160293	0.374	0	1.72105789429185	4.44089209850063e-16
des	2000	0.0872519706441968	1	0.0872519706441968	0.41	0	1.28870150087877	4.44089209850063e-16
uv	50	0.25	0.886792452830189	0.265822784810127	1	0.135055175705617	2.33018383619475	0.135055175705619
uv	100	0.265822784810127	0.886792452830189	0.315789473684211	0.96	0.125502704999232	2.15291232195171	0.125502704999233
uv	200	0.30718954248366	0.951219512195122	0.311475409836066	0.92	0.110803271020766	1.97740418641858	0.110803271020766
uv	500	0.326259946949602	0.923076923076923	0.35685210312076	0.868	0.0950237404111355	1.6739260620728	0.0950237404111351
uv	1000	0.376462491397109	0.953125	0.394700139470014	0.846	0.0831918946088195	1.45770968590928	0.0831918946088192
uv	2000	0.42551674982181	0.958863858961802	0.443001443001443	0.791	0.0703143137382722	1.24242156065791	0.0703143137382721
