feature	condition	subgroup_1	subgroup_2	delta_1	delta_2	delta_pool	delta_strat	sign_flip	hetero_gap	discordance	instability_score	var_proxy
atp6	uv	long	short	-0.753222022541253	0.222692145591827	-0.261799737101798	-0.204270302966396	TRUE	0.97591416813308	0.0575294341354025	1.03344360226848	0.437612947892489
atp8	uv	long	short	-1.30563189966082	0.0485872094427986	-0.588386698557514	-0.543883650790033	TRUE	1.35421910910361	0.0445030477674815	1.3987221568711	0.745794331542149
cob	uv	long	short	-1.24235728658179	-0.135864730209883	-0.647187261830307	-0.619955223622593	FALSE	1.10649255637191	0.0272320382077143	1.13372459457962	0.378960878488633
cox1	uv	long	short	-0.729417567919938	0.0214932590671282	-0.338388555405359	-0.307030227739713	TRUE	0.750910826987067	0.0313583276656457	0.782269154652712	0.207239785841591
cox2	uv	long	short	-1.55459723111603	-0.211105321471072	-0.851690523549475	-0.798883031940743	FALSE	1.34349190964496	0.0528074916087325	1.39629940125369	0.486670480475588
cox3	uv	long	short	-1.48222016676992	0.183326174424716	-0.591785022961533	-0.545350349847935	TRUE	1.66554634119463	0.0464346731135976	1.71198101430823	0.436364331993131
nad1	uv	long	short	-0.834082535487809	0.522015181941937	-0.165601758644309	-0.0712775694335771	TRUE	1.35609771742975	0.0943241892107317	1.45042190664048	0.446089164004934
nad2	uv	long	short	-0.973297688202624	-0.259313232564731	-0.624375500368396	-0.571681431906309	FALSE	0.713984455637894	0.052694068462087	0.766678524099981	0.532733266884671
nad3	uv	long	short	-1.70208201664154	-0.389964987869265	-0.997715935212712	-0.964016187957137	FALSE	1.31211702877228	0.0336997472555752	1.34581677602785	0.665692775387047
nad4	uv	long	short	-1.66776320064369	0.340630964247291	-0.607663362053641	-0.538041482892514	TRUE	2.00839416489098	0.0696218791611265	2.07801604405211	0.522093772592286
nad4L	uv	long	short	-1.85527106732526	0.0991150577477731	-0.869259156558705	-0.755928871971677	TRUE	1.95438612507303	0.113330284587028	2.06771640966006	0.72812600306763
nad5	uv	long	short	-1.15456187801487	0.347151784393404	-0.404012544798087	-0.309847942910215	TRUE	1.50171366240827	0.0941646018878726	1.59587826429614	0.573700920390628
nad6	uv	long	short	-1.25124456119647	-0.151603508442529	-0.667348906423003	-0.632696469022378	FALSE	1.09964105275394	0.0346524374006247	1.13429349015457	0.409767754639922
RvY_00001-1	uv	long	short	-0.030925511000639	0.23760194666648	0.110506642160964	0.120121183937115	TRUE	0.268527457667119	0.00961454177615195	0.278141999443271	0.14290842848652
RvY_00005	uv	long	short	0.249272550382267	0.220882556171349	0.253961977571154	0.233303178638626	FALSE	0.0283899942109187	0.0206587989325286	0.0490487931434473	0.300563701830055
RvY_00006-1	uv	long	short	0.238909467160735	0.3136121796573	0.281596731444487	0.280929742940053	FALSE	0.0747027124965642	0.000666988504433863	0.0753697010009981	0.206597181539982
RvY_00008-1	uv	long	short	-0.446793730270501	0.219786344297626	-0.0911350031936884	-0.0718424383259297	TRUE	0.666580074568127	0.0192925648677587	0.685872639435886	0.23414927538289
RvY_00009-1	uv	long	short	-0.634612345266888	0.140347289455273	-0.239423952971977	-0.198697550735672	TRUE	0.774959634722161	0.0407264022363051	0.815686036958466	0.277388723615311
