"sample_id","condition","group_type","timepoint","baseline_block","block_aware_condition","project_number"
"ERR9671266","lt","control","02h","pool","lt_pool","PRJEB47628"
"ERR9671267","lt","control","02h","pool","lt_pool","PRJEB47628"
"ERR9671268","lt","control","02h","pool","lt_pool","PRJEB47628"
"ERR9671269","lt","treatment","02h","pool","lt_pool","PRJEB47628"
"ERR9671270","lt","treatment","02h","pool","lt_pool","PRJEB47628"
"ERR9671271","lt","treatment","02h","pool","lt_pool","PRJEB47628"
"ERR9671272","lt","control","24h","pool","lt_pool","PRJEB47628"
"ERR9671273","lt","control","24h","pool","lt_pool","PRJEB47628"
"ERR9671274","lt","control","24h","pool","lt_pool","PRJEB47628"
"ERR9671275","lt","treatment","24h","pool","lt_pool","PRJEB47628"
"ERR9671276","lt","treatment","24h","pool","lt_pool","PRJEB47628"
"ERR9671277","lt","treatment","24h","pool","lt_pool","PRJEB47628"
"ERR8711439","ht","control","24h","pool","ht_pool","PRJEB49649"
"ERR8711440","ht","control","24h","pool","ht_pool","PRJEB49649"
"ERR8711441","ht","control","24h","pool","ht_pool","PRJEB49649"
"ERR8711442","ht","treatment","24h","pool","ht_pool","PRJEB49649"
"ERR8711443","ht","treatment","24h","pool","ht_pool","PRJEB49649"
"ERR8711444","ht","treatment","24h","pool","ht_pool","PRJEB49649"
"ERR10902654","osm","control","72h","pool","osm_pool","PRJEB59868"
"ERR10902655","osm","control","72h","pool","osm_pool","PRJEB59868"
"ERR10902656","osm","control","72h","pool","osm_pool","PRJEB59868"
"ERR10902657","osm","treatment","72h","pool","osm_pool","PRJEB59868"
"ERR10902658","osm","treatment","72h","pool","osm_pool","PRJEB59868"
"ERR10902659","osm","treatment","72h","pool","osm_pool","PRJEB59868"
"SRR12044925","uv","control","long","long","uv_long","PRJNA640345"
"SRR12044926","uv","control","long","long","uv_long","PRJNA640345"
"SRR12044927","uv","control","long","long","uv_long","PRJNA640345"
"SRR12044928","uv","treatment","12h","long","uv_long","PRJNA640345"
"SRR12044929","uv","treatment","12h","long","uv_long","PRJNA640345"
"SRR12044930","uv","treatment","12h","long","uv_long","PRJNA640345"
"SRR12044931","uv","treatment","18h","long","uv_long","PRJNA640345"
"SRR12044932","uv","treatment","18h","long","uv_long","PRJNA640345"
"SRR12044933","uv","treatment","18h","long","uv_long","PRJNA640345"
"SRR12044934","uv","treatment","24h","long","uv_long","PRJNA640345"
"SRR12044935","uv","treatment","24h","long","uv_long","PRJNA640345"
"SRR12044936","uv","treatment","24h","long","uv_long","PRJNA640345"
"SRR12044937","uv","treatment","36h","long","uv_long","PRJNA640345"
"SRR12044938","uv","treatment","36h","long","uv_long","PRJNA640345"
"SRR12044939","uv","treatment","36h","long","uv_long","PRJNA640345"
"SRR12044940","uv","treatment","48h","long","uv_long","PRJNA640345"
"SRR12044941","uv","treatment","48h","long","uv_long","PRJNA640345"
"SRR12044942","uv","treatment","48h","long","uv_long","PRJNA640345"
"SRR12044943","uv","treatment","72h","long","uv_long","PRJNA640345"
"SRR12044944","uv","treatment","72h","long","uv_long","PRJNA640345"
"SRR12044945","uv","treatment","72h","long","uv_long","PRJNA640345"
"SRR12044946","uv","control","short","short","uv_short","PRJNA640345"
"SRR12044947","uv","control","short","short","uv_short","PRJNA640345"
"SRR12044948","uv","control","short","short","uv_short","PRJNA640345"
"SRR12044949","uv","treatment","01h","short","uv_short","PRJNA640345"
"SRR12044950","uv","treatment","01h","short","uv_short","PRJNA640345"
"SRR12044951","uv","treatment","01h","short","uv_short","PRJNA640345"
"SRR12044952","uv","treatment","02h","short","uv_short","PRJNA640345"
"SRR12044953","uv","treatment","02h","short","uv_short","PRJNA640345"
"SRR12044954","uv","treatment","02h","short","uv_short","PRJNA640345"
"SRR12044955","uv","treatment","03h","short","uv_short","PRJNA640345"
"SRR12044956","uv","treatment","03h","short","uv_short","PRJNA640345"
"SRR12044957","uv","treatment","03h","short","uv_short","PRJNA640345"
"SRR12044958","uv","treatment","04h","short","uv_short","PRJNA640345"
"SRR12044959","uv","treatment","04h","short","uv_short","PRJNA640345"
"SRR12044960","uv","treatment","04h","short","uv_short","PRJNA640345"
"SRR12044961","uv","treatment","05h","short","uv_short","PRJNA640345"
"SRR12044962","uv","treatment","05h","short","uv_short","PRJNA640345"
"SRR12044963","uv","treatment","05h","short","uv_short","PRJNA640345"
"SRR12044964","uv","treatment","06h","short","uv_short","PRJNA640345"
"SRR12044965","uv","treatment","06h","short","uv_short","PRJNA640345"
"SRR12044966","uv","treatment","06h","short","uv_short","PRJNA640345"
"SRR12044967","uv","treatment","09h","short","uv_short","PRJNA640345"
"SRR12044968","uv","treatment","09h","short","uv_short","PRJNA640345"
"SRR12044969","uv","treatment","09h","short","uv_short","PRJNA640345"
"SRR12044970","uv","treatment","12h","short","uv_short","PRJNA640345"
"SRR12044971","uv","treatment","12h","short","uv_short","PRJNA640345"
"SRR12044972","uv","treatment","12h","short","uv_short","PRJNA640345"
"SRR5218269","des","treatment","fast","fast","des_fast","PRJNA369262"
"SRR5218270","des","treatment","fast","fast","des_fast","PRJNA369262"
"SRR5218271","des","treatment","fast","fast","des_fast","PRJNA369262"
"SRR5218272","des","control","fast","fast","des_fast","PRJNA369262"
"SRR5218273","des","control","fast","fast","des_fast","PRJNA369262"
"SRR5218274","des","control","fast","fast","des_fast","PRJNA369262"
"SRR5218275","des","treatment","slow","slow","des_slow","PRJNA369262"
"SRR5218276","des","treatment","slow","slow","des_slow","PRJNA369262"
"SRR5218277","des","treatment","slow","slow","des_slow","PRJNA369262"
"SRR5218278","des","control","slow","slow","des_slow","PRJNA369262"
"SRR5218279","des","control","slow","slow","des_slow","PRJNA369262"
"SRR5218280","des","control","slow","slow","des_slow","PRJNA369262"
"SRR13696355","gam","control","00h","pool","gam_pool","PRJNA701555"
"SRR13696356","gam","control","00h","pool","gam_pool","PRJNA701555"
"SRR13696357","gam","control","00h","pool","gam_pool","PRJNA701555"
"SRR13696358","gam","treatment","04h","pool","gam_pool","PRJNA701555"
"SRR13696359","gam","treatment","04h","pool","gam_pool","PRJNA701555"
"SRR13696360","gam","treatment","04h","pool","gam_pool","PRJNA701555"
"SRR13696361","gam","treatment","06h","pool","gam_pool","PRJNA701555"
"SRR13696362","gam","treatment","06h","pool","gam_pool","PRJNA701555"
"SRR13696363","gam","treatment","06h","pool","gam_pool","PRJNA701555"
"SRR13696364","gam","treatment","09h","pool","gam_pool","PRJNA701555"
"SRR13696365","gam","treatment","09h","pool","gam_pool","PRJNA701555"
"SRR13696366","gam","treatment","09h","pool","gam_pool","PRJNA701555"
"SRR13696367","gam","treatment","12h","pool","gam_pool","PRJNA701555"
"SRR13696368","gam","treatment","12h","pool","gam_pool","PRJNA701555"
"SRR13696369","gam","treatment","12h","pool","gam_pool","PRJNA701555"
"SRR13696370","gam","treatment","15h","pool","gam_pool","PRJNA701555"
"SRR13696371","gam","treatment","15h","pool","gam_pool","PRJNA701555"
"SRR13696372","gam","treatment","15h","pool","gam_pool","PRJNA701555"
"SRR13696373","gam","treatment","18h","pool","gam_pool","PRJNA701555"
"SRR13696374","gam","treatment","18h","pool","gam_pool","PRJNA701555"
"SRR13696375","gam","treatment","18h","pool","gam_pool","PRJNA701555"
"SRR13696376","gam","treatment","21h","pool","gam_pool","PRJNA701555"
"SRR13696377","gam","treatment","21h","pool","gam_pool","PRJNA701555"
"SRR13696378","gam","treatment","21h","pool","gam_pool","PRJNA701555"
"SRR13696379","gam","treatment","24h","pool","gam_pool","PRJNA701555"
"SRR13696380","gam","treatment","24h","pool","gam_pool","PRJNA701555"
"SRR13696381","gam","treatment","24h","pool","gam_pool","PRJNA701555"
