"Package","Version"
"askpass","1.2.1"
"assertthat","0.2.1"
"backports","1.5.1"
"base","4.5.1"
"base64enc","0.1-6"
"BiocGenerics","0.56.0"
"BiocManager","1.30.27"
"BiocVersion","3.22.0"
"Biostrings","2.78.0"
"bit","4.6.0"
"bit64","4.8.0"
"blob","1.3.0"
"boot","1.3-32"
"broom","1.0.12"
"bslib","0.10.0"
"cachem","1.1.0"
"callr","3.7.6"
"cellranger","1.1.0"
"class","7.3-23"
"cli","3.6.6"
"clipr","0.8.0"
"cluster","2.1.8.2"
"codetools","0.2-20"
"colorspace","2.1-2"
"compiler","4.5.1"
"conflicted","1.2.0"
"cowplot","1.2.0"
"cpp11","0.5.4"
"crayon","1.5.3"
"curl","7.0.0"
"data.table","1.17.8"
"datasets","4.5.1"
"DBI","1.3.0"
"dbplyr","2.5.2"
"digest","0.6.39"
"dplyr","1.2.1"
"dtplyr","1.3.3"
"ellipsis","0.3.3"
"evaluate","1.0.5"
"fansi","1.0.7"
"farver","2.1.2"
"fastmap","1.2.0"
"fontawesome","0.5.3"
"forcats","1.0.1"
"foreign","0.8-91"
"fs","2.1.0"
"gargle","1.6.1"
"generics","0.1.4"
"ggplot2","4.0.3"
"ggrepel","0.9.8"
"glue","1.8.1"
"googledrive","2.1.2"
"googlesheets4","1.1.2"
"graphics","4.5.1"
"grDevices","4.5.1"
"grid","4.5.1"
"gridExtra","2.3"
"gtable","0.3.6"
"haven","2.5.5"
"highr","0.12"
"hms","1.1.4"
"htmltools","0.5.9"
"httr","1.4.8"
"ids","1.0.1"
"IRanges","2.44.0"
"isoband","0.3.0"
"jquerylib","0.1.4"
"jsonlite","2.0.0"
"KernSmooth","2.23-26"
"knitr","1.51"
"labeling","0.4.3"
"lattice","0.22-9"
"lifecycle","1.0.5"
"limma","3.66.0"
"lubridate","1.9.5"
"magrittr","2.0.5"
"MASS","7.3-65"
"Matrix","1.7-5"
"matrixStats","1.5.0"
"memoise","2.0.1"
"methods","4.5.1"
"mgcv","1.9-4"
"mime","0.13"
"modelr","0.1.11"
"munsell","0.5.1"
"nlme","3.1-169"
"nnet","7.3-20"
"openssl","2.4.0"
"parallel","4.5.1"
"pillar","1.11.1"
"pkgconfig","2.0.3"
"prettyunits","1.2.0"
"processx","3.9.0"
"progress","1.2.3"
"ps","1.9.3"
"purrr","1.2.2"
"R6","2.6.1"
"ragg","1.5.0"
"rappdirs","0.3.4"
"RColorBrewer","1.1-3"
"Rcpp","1.1.1-1"
"readr","2.2.0"
"readxl","1.4.5"
"rematch","2.0.0"
"rematch2","2.1.2"
"rentrez","1.2.4"
"reprex","2.1.1"
"rlang","1.2.0"
"rmarkdown","2.31"
"rpart","4.1.27"
"rstudioapi","0.18.0"
"rvest","1.0.5"
"S4Vectors","0.48.1"
"S7","0.2.2"
"sass","0.4.10"
"scales","1.4.0"
"selectr","0.5-1"
"Seqinfo","1.0.0"
"spatial","7.3-18"
"splines","4.5.1"
"statmod","1.5.1"
"stats","4.5.1"
"stats4","4.5.1"
"stringi","1.8.7"
"stringr","1.6.0"
"survival","3.8-6"
"sys","3.4.3"
"systemfonts","1.3.1"
"tcltk","4.5.1"
"textshaping","1.0.3"
"tibble","3.3.1"
"tidyr","1.3.2"
"tidyselect","1.2.1"
"tidyverse","2.0.0"
"timechange","0.4.0"
"tinytex","0.59"
"tools","4.5.1"
"tximport","1.38.2"
"tzdb","0.5.0"
"utf8","1.2.6"
"utils","4.5.1"
"uuid","1.2-2"
"vctrs","0.7.3"
"viridisLite","0.4.3"
"vroom","1.7.1"
"withr","3.0.2"
"xfun","0.57"
"XML","3.99-0.17"
"xml2","1.4.0"
"XVector","0.50.0"
"yaml","2.3.12"
