"Package","Version"
"abind","1.4-8"
"AnnotationDbi","1.68.0"
"ape","5.8-1"
"aplot","0.2.9"
"askpass","1.2.1"
"backports","1.5.0"
"base64enc","0.1-3"
"BH","1.87.0-1"
"Biobase","2.66.0"
"BiocGenerics","0.52.0"
"BiocIO","1.16.0"
"BiocManager","1.30.26"
"BiocParallel","1.40.2"
"BiocVersion","3.20.0"
"Biostrings","2.74.1"
"bit","4.6.0"
"bit64","4.6.0-1"
"bitops","1.0-9"
"blob","1.2.4"
"boot","1.3-32"
"Boruta","9.0.0"
"broom","1.0.10"
"bslib","0.9.0"
"ca","0.71.1"
"cachem","1.1.0"
"callr","3.7.6"
"car","3.1-3"
"carData","3.0-5"
"caret","7.0-1"
"caTools","1.18.3"
"cellranger","1.1.0"
"circlize","0.4.16"
"class","7.3-23"
"clipr","0.8.0"
"clock","0.7.3"
"clue","0.3-66"
"cluster","2.1.8.1"
"clusterProfiler","4.14.6"
"codetools","0.2-20"
"commonmark","2.0.0"
"ComplexHeatmap","2.22.0"
"conflicted","1.2.0"
"corpcor","1.6.10"
"corrplot","0.95"
"cowplot","1.2.0"
"cpp11","0.5.2"
"crosstalk","1.2.2"
"data.table","1.17.8"
"data.tree","1.2.0"
"DBI","1.2.3"
"dbplyr","2.5.1"
"DelayedArray","0.32.0"
"dendextend","1.19.1"
"Deriv","4.2.0"
"DESeq2","1.46.0"
"diagram","1.6.5"
"DiagrammeR","1.0.11"
"digest","0.6.37"
"doBy","4.7.0"
"doParallel","1.0.17"
"DOSE","4.0.1"
"dplyr","1.1.4"
"DT","0.34.0"
"dtplyr","1.3.2"
"dynamicTreeCut","1.63-1"
"e1071","1.7-16"
"edgeR","4.4.2"
"egg","0.4.5"
"ellipse","0.5.0"
"emmeans","1.11.2-8"
"enrichplot","1.26.6"
"estimability","1.5.1"
"evaluate","1.0.5"
"factoextra","1.0.7"
"FactoMineR","2.12"
"fastmap","1.2.0"
"fastmatch","1.1-6"
"fgsea","1.32.4"
"flashClust","1.01-2"
"fontawesome","0.5.3"
"fontBitstreamVera","0.1.1"
"fontLiberation","0.1.0"
"fontquiver","0.2.1"
"forcats","1.0.0"
"foreach","1.5.2"
"formatR","1.14"
"Formula","1.2-5"
"fs","1.6.6"
"futile.logger","1.4.3"
"futile.options","1.0.1"
"future","1.67.0"
"future.apply","1.20.0"
"gargle","1.6.0"
"gclus","1.3.3"
"gdtools","0.4.3"
"generics","0.1.4"
"GenomeInfoDbData","1.2.13"
"GenomicAlignments","1.42.0"
"GenomicRanges","1.58.0"
"geometry","0.5.2"
"GetoptLong","1.0.5"
"ggforce","0.5.0"
"ggfun","0.2.0"
"ggnewscale","0.5.2"
"ggplot2","4.0.0"
"ggplotify","0.1.2"
"ggpubr","0.6.1"
"ggrepel","0.9.6"
"ggsci","3.2.0"
"ggsignif","0.6.4"
"ggtangle","0.0.7"
"ggtree","3.14.0"
"glmnet","4.1-10"
"GlobalOptions","0.1.2"
"globals","0.18.0"
"GO.db","3.20.0"
"googlesheets4","1.1.2"
"GOSemSim","2.32.0"
"gower","1.0.2"
"gplots","3.2.0"
"graph","1.84.1"
"gridExtra","2.3"
"gridGraphics","0.5-1"
"gsignal","0.3-7"
"gson","0.1.0"
"gtools","3.9.5"
"hardhat","1.4.2"
"haven","2.5.5"
"heatmaply","1.6.0"
"here","1.0.2"
"highr","0.11"
"hms","1.1.3"
"htmltools","0.5.8.1"
"htmlwidgets","1.6.4"
"httpuv","1.6.16"
"ids","1.0.1"
"igraph","2.1.4"
"ipred","0.9-15"
"IRanges","2.40.1"
"iterators","1.0.14"
"jquerylib","0.1.4"
"jsonlite","2.0.0"
"KEGGREST","1.46.0"
"KernSmooth","2.23-26"
"knitr","1.50"
"lambda.r","1.2.4"
"later","1.4.4"
"lava","1.8.1"
"lazyeval","0.2.2"
"leaps","3.2"
"limma","3.62.2"
"linprog","0.9-4"
"listenv","0.9.1"
"lme4","1.1-37"
"locfit","1.5-9.12"
"lpSolve","5.6.23"
"lubridate","1.9.4"
"magic","1.6-1"
"MatrixGenerics","1.18.1"
"MatrixModels","0.5-4"
"matrixStats","1.5.0"
"MDFS","1.5.5"
"memoise","2.0.1"
"microbenchmark","1.5.0"
"mime","0.13"
"minqa","1.2.8"
"mixOmics","6.32.0"
"ModelMetrics","1.2.2.2"
"modelr","0.1.11"
"multcompView","0.1-10"
"mvtnorm","1.3-3"
"NbClust","3.0.1"
"nloptr","2.2.1"
"nnet","7.3-20"
"numDeriv","2016.8-1.1"
"openssl","2.3.3"
