gene,category,protein_id,protein_desc_from_cds,protein_desc_from_protein,Preferred_name,Description,GOs,KEGG_ko,KEGG_Pathway,PFAMs_eggnog,ipr_acc,ipr_desc,ipr_go,ipr_path,pfam_hits
RvY_07877-1,Instability-only,GAU96428.1,hypothetical protein,hypothetical protein RvY_07877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_02420-1,Instability-only,GAU89928.1,SAHS5,SAHS5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_03909,Instability-only,GAU91702.1,hypothetical protein,hypothetical protein RvY_03909-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_01282-1,Instability-only,GAU88613.1,hypothetical protein,hypothetical protein RvY_01282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_19428-1,Instability-only,GAV09949.1,hypothetical protein,hypothetical protein RvY_19428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_02443-1,Instability-only,GAU89953.1,hypothetical protein,hypothetical protein RvY_02443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_15742-1,Instability-only,GAV05642.1,hypothetical protein,hypothetical protein RvY_15742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_07465-1,Instability-only,GAU95949.1,hypothetical protein,hypothetical protein RvY_07465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_11878-1,Instability-only,GAV01117.1,hypothetical protein,hypothetical protein RvY_11878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_02824-1,Instability-only,GAU90404.1,hypothetical protein,hypothetical protein RvY_02824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_16120,Instability-only,GAV06085.1,hypothetical protein,hypothetical protein RvY_16120-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_04438-1,Instability-only,GAU92345.1,hypothetical protein,hypothetical protein RvY_04438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_14730-1,Instability-only,GAV04458.1,hypothetical protein,hypothetical protein RvY_14730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_19217-1,Instability-only,GAV09728.1,hypothetical protein,hypothetical protein RvY_19217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
