gene,category,gene_base.x,cds_header,cds_seqname,locus_tag,protein_desc_from_cds,protein_id,gene_base.y,locus_base,protein_header,protein_desc_from_protein,protein_present_in_faa,match_type,gene.y,gene.x,gene_base
RvY_07877-1,Instability-only,RvY_07877,lcl|BDGG01000003.1_cds_GAU96428.1_9326 [gene=RvY_07877-1] [locus_tag=RvY_07877] [protein=hypothetical protein] [protein_id=GAU96428.1] [location=3990397..3990612] [gbkey=CDS],lcl|BDGG01000003.1_cds_GAU96428.1_9326,RvY_07877,hypothetical protein,GAU96428.1,RvY_07877,RvY_07877,GAU96428.1 hypothetical protein RvY_07877 [Ramazzottius varieornatus],hypothetical protein RvY_07877,TRUE,exact_gene,NA,NA,NA
RvY_02420-1,Instability-only,RvY_02420,"lcl|BDGG01000001.1_cds_GAU89928.1_2826 [gene=RvY_02420-1] [locus_tag=RvY_02420] [protein=SAHS5] [protein_id=GAU89928.1] [location=complement(join(6735909..6735968,6736037..6736144,6736243..6736415,6736484..6736606,6736683..6736716))] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU89928.1_2826,RvY_02420,SAHS5,GAU89928.1,RvY_02420,RvY_02420,GAU89928.1 SAHS5 [Ramazzottius varieornatus],SAHS5,TRUE,exact_gene,NA,NA,NA
RvY_03909,Instability-only,RvY_03909,"lcl|BDGG01000002.1_cds_GAU91702.1_4600 [gene=RvY_03909] [locus_tag=RvY_03909-1] [protein=hypothetical protein] [protein_id=GAU91702.1] [location=complement(join(1447252..1447503,1447754..1447787,1448295..1448475,1448770..1448842))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91702.1_4600,RvY_03909-1,hypothetical protein,GAU91702.1,RvY_03909,RvY_03909,GAU91702.1 hypothetical protein RvY_03909-1 [Ramazzottius varieornatus],hypothetical protein RvY_03909-1,TRUE,exact_gene,NA,NA,NA
RvY_01282-1,Instability-only,RvY_01282,"lcl|BDGG01000001.1_cds_GAU88613.1_1511 [gene=RvY_01282-1] [locus_tag=RvY_01282] [protein=hypothetical protein] [protein_id=GAU88613.1] [location=join(3733501..3733579,3733675..3733843,3733921..3734198,3734287..3734517,3734648..3734745)] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU88613.1_1511,RvY_01282,hypothetical protein,GAU88613.1,RvY_01282,RvY_01282,GAU88613.1 hypothetical protein RvY_01282 [Ramazzottius varieornatus],hypothetical protein RvY_01282,TRUE,exact_gene,NA,NA,NA
RvY_19428-1,Instability-only,RvY_19428,"lcl|BDGG01000072.1_cds_GAV09949.1_22846 [gene=RvY_19428-1] [locus_tag=RvY_19428] [protein=hypothetical protein] [protein_id=GAV09949.1] [location=join(425..929,1078..1445)] [gbkey=CDS]",lcl|BDGG01000072.1_cds_GAV09949.1_22846,RvY_19428,hypothetical protein,GAV09949.1,RvY_19428,RvY_19428,GAV09949.1 hypothetical protein RvY_19428 [Ramazzottius varieornatus],hypothetical protein RvY_19428,TRUE,exact_gene,NA,NA,NA
RvY_02443-1,Instability-only,RvY_02443,"lcl|BDGG01000001.1_cds_GAU89953.1_2851 [gene=RvY_02443-1] [locus_tag=RvY_02443] [protein=hypothetical protein] [protein_id=GAU89953.1] [location=complement(join(6798406..6798622,6798700..6798824,6798909..6799087,6799167..6799292,6799389..6799571,6799652..6799853,6800002..6800526))] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU89953.1_2851,RvY_02443,hypothetical protein,GAU89953.1,RvY_02443,RvY_02443,GAU89953.1 hypothetical protein RvY_02443 [Ramazzottius varieornatus],hypothetical protein RvY_02443,TRUE,exact_gene,NA,NA,NA
RvY_15742-1,Instability-only,RvY_15742,"lcl|BDGG01000012.1_cds_GAV05642.1_18539 [gene=RvY_15742-1] [locus_tag=RvY_15742] [protein=hypothetical protein] [protein_id=GAV05642.1] [location=complement(join(1024635..1024805,1025095..1025286))] [gbkey=CDS]",lcl|BDGG01000012.1_cds_GAV05642.1_18539,RvY_15742,hypothetical protein,GAV05642.1,RvY_15742,RvY_15742,GAV05642.1 hypothetical protein RvY_15742 [Ramazzottius varieornatus],hypothetical protein RvY_15742,TRUE,exact_gene,NA,NA,NA
RvY_07465-1,Instability-only,RvY_07465,"lcl|BDGG01000003.1_cds_GAU95949.1_8847 [gene=RvY_07465-1] [locus_tag=RvY_07465] [protein=hypothetical protein] [protein_id=GAU95949.1] [location=complement(join(2891465..2891606,2891674..2891729,2891791..2891857,2891937..2892841,2892925..2892990))] [gbkey=CDS]",lcl|BDGG01000003.1_cds_GAU95949.1_8847,RvY_07465,hypothetical protein,GAU95949.1,RvY_07465,RvY_07465,GAU95949.1 hypothetical protein RvY_07465 [Ramazzottius varieornatus],hypothetical protein RvY_07465,TRUE,exact_gene,NA,NA,NA
RvY_11878-1,Instability-only,RvY_11878,"lcl|BDGG01000007.1_cds_GAV01117.1_14014 [gene=RvY_11878-1] [locus_tag=RvY_11878] [protein=hypothetical protein] [protein_id=GAV01117.1] [location=complement(join(58824..59377,59453..59600))] [gbkey=CDS]",lcl|BDGG01000007.1_cds_GAV01117.1_14014,RvY_11878,hypothetical protein,GAV01117.1,RvY_11878,RvY_11878,GAV01117.1 hypothetical protein RvY_11878 [Ramazzottius varieornatus],hypothetical protein RvY_11878,TRUE,exact_gene,NA,NA,NA
RvY_02824-1,Instability-only,RvY_02824,"lcl|BDGG01000001.1_cds_GAU90404.1_3302 [gene=RvY_02824-1] [locus_tag=RvY_02824] [protein=hypothetical protein] [protein_id=GAU90404.1] [location=join(7861812..7861983,7862065..7862292,7862362..7862445,7862522..7862604)] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU90404.1_3302,RvY_02824,hypothetical protein,GAU90404.1,RvY_02824,RvY_02824,GAU90404.1 hypothetical protein RvY_02824 [Ramazzottius varieornatus],hypothetical protein RvY_02824,TRUE,exact_gene,NA,NA,NA
