gene	gene_base	protein_id	ncbi_protein_desc	match_type	delta_pool	instability_score	pfam_name	pfam_acc	pfam_desc	pfam_hit_count	interpro_analysis	interpro_sig_acc	interpro_sig_desc	interpro_acc	interpro_desc	interpro_hit_count	raw_annotation	has_annotation	broad_group_auto	expert_reclassified_group	expert_reclassification_note	manual_reclassified	broad_group_precollapse	broad_group_figure
RvY_14730-1	NA	GAV04458.1	hypothetical protein	exact_gene	-0.0560235148508808	2.63613368160566	B56; RNase_H_2; WipA_Phos; PcfK	PF01603.26; PF13482.12; PF21663.2; PF14058.11	Protein phosphatase 2A regulatory B subunit (B56 family); RNase_H superfamily; WipA-like, phosphatase domain; PcfK-like protein	4	MobiDBLite; FunFam; Gene3D; SUPERFAMILY; PANTHER; Pfam	mobidb-lite; G3DSA:1.25.10.10:FF:000331; G3DSA:1.25.10.10; SSF48371; PTHR10257; PF01603	consensus disorder prediction; Phosphoprotein phosphatase, putative; ARM repeat; SERINE/THREONINE PROTEIN PHOSPHATASE 2A  PP2A  REGULATORY SUBUNIT B; Protein phosphatase 2A regulatory B subunit (B56 family)	IPR011989; IPR016024; IPR002554	Armadillo-like helical; Armadillo-type fold; Protein phosphatase 2A, regulatory B subunit, B56	9	hypothetical protein; Protein phosphatase 2A regulatory B subunit (B56 family); RNase_H superfamily; WipA-like, phosphatase domain; PcfK-like protein; consensus disorder prediction; Phosphoprotein phosphatase, putative; ARM repeat; SERINE/THREONINE PROTEIN PHOSPHATASE 2A  PP2A  REGULATORY SUBUNIT B; Protein phosphatase 2A regulatory B subunit (B56 family); Armadillo-like helical; Armadillo-type fold; Protein phosphatase 2A, regulatory B subunit, B56; B56; RNase_H_2; WipA_Phos; PcfK; MobiDBLite; FunFam; Gene3D; SUPERFAMILY; PANTHER; Pfam	TRUE	Signaling/Receptor	Signaling/Receptor		FALSE	Signaling/Receptor	Signaling/Receptor
RvY_14133	NA	GAV03750.1	hypothetical protein	exact_gene	-0.0286955170327365	2.59927719648901	Ion_trans_2; Ion_trans; IRK; BCD; TssN; RAMP4; 8xMP	PF07885.22; PF00520.37; PF01007.26; PF15461.11; PF17555.7; PF06624.17; PF24838.2	Ion channel; Ion transport protein; Inward rectifier potassium channel transmembrane domain; Beta-carotene 15,15'-dioxygenase; Type VI secretion system, TssN; Ribosome associated membrane protein RAMP4; Octameric membrane protein family (8xMP)	15	PANTHER; SUPERFAMILY; PRINTS; Gene3D; Pfam	PTHR11003; SSF81324; PR01333; G3DSA:1.10.287.70; PF07885	POTASSIUM CHANNEL, SUBFAMILY K; Voltage-gated potassium channels; Two pore domain K+ channel signature; Ion channel	IPR003280; IPR013099	Two pore domain potassium channel; Potassium channel domain	8	hypothetical protein; Ion channel; Ion transport protein; Inward rectifier potassium channel transmembrane domain; Beta-carotene 15,15'-dioxygenase; Type VI secretion system, TssN; Ribosome associated membrane protein RAMP4; Octameric membrane protein family (8xMP); POTASSIUM CHANNEL, SUBFAMILY K; Voltage-gated potassium channels; Two pore domain K+ channel signature; Ion channel; Two pore domain potassium channel; Potassium channel domain; Ion_trans_2; Ion_trans; IRK; BCD; TssN; RAMP4; 8xMP; PANTHER; SUPERFAMILY; PRINTS; Gene3D; Pfam	TRUE	Transport/Membrane	Transport/Membrane		FALSE	Transport/Membrane	Transport/Membrane
RvY_06540-1	NA	GAU94830.1	hypothetical protein	exact_gene	-0.0271045718848661	2.51539484112141	SNF	PF00209.24	Sodium:neurotransmitter symporter family	1	PRINTS; PANTHER; Pfam; ProSitePatterns; NCBIfam; SUPERFAMILY; ProSiteProfiles; Coils	PR00176; PTHR11616; PF00209; PS00610; NF037979; SSF161070; PS50267; Coil	Sodium/chloride neurotransmitter symporter signature; SODIUM/CHLORIDE DEPENDENT TRANSPORTER; Sodium:neurotransmitter symporter family; Sodium:neurotransmitter symporter family signature 1.; sodium-dependent transporter; SNF-like; Sodium:neurotransmitter symporter family profile.; Coil	IPR000175; IPR037272	Sodium:neurotransmitter symporter; Sodium:neurotransmitter symporter superfamily	15	hypothetical protein; Sodium:neurotransmitter symporter family; Sodium/chloride neurotransmitter symporter signature; SODIUM/CHLORIDE DEPENDENT TRANSPORTER; Sodium:neurotransmitter symporter family; Sodium:neurotransmitter symporter family signature 1.; sodium-dependent transporter; SNF-like; Sodium:neurotransmitter symporter family profile.; Coil; Sodium:neurotransmitter symporter; Sodium:neurotransmitter symporter superfamily; SNF; PRINTS; PANTHER; Pfam; ProSitePatterns; NCBIfam; SUPERFAMILY; ProSiteProfiles; Coils	TRUE	Transport/Membrane	Transport/Membrane		FALSE	Transport/Membrane	Transport/Membrane
RvY_01734-1	NA	GAU89150.1	hypothetical protein	exact_gene	-0.101284295376165	2.34549675573988	NA	NA	NA	NA	MobiDBLite	mobidb-lite	consensus disorder prediction			2	hypothetical protein; consensus disorder prediction; MobiDBLite	TRUE	Complex proteins, unresolved class	Complex proteins, unresolved class		FALSE	Complex proteins, unresolved class	Complex proteins, unresolved class
RvY_13663-1	NA	GAV03204.1	hypothetical protein	exact_gene	-0.0613271308160739	2.34374531955413	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hypothetical protein	TRUE	Complex proteins, unresolved class	Complex proteins, unresolved class		FALSE	Complex proteins, unresolved class	Complex proteins, unresolved class
RvY_18153-1	NA	GAV08470.1	hypothetical protein	exact_gene	-0.0187189601618254	2.33359642086745	Gelsolin; DUF7904; MPK1_gelsolin_C; DUF6242; S_layer_C; PAC4; KcnmB2_inactiv	PF00626.27; PF25480.1; PF25466.1; PF19755.4; PF05124.17; PF16093.10; PF09303.15	Gelsolin repeat; Domain of unknown function (DUF7904); MPK1 gelsolin domain C-terminal; Domain of unknown function (DUF6242); S-layer like family, outer domain; Proteasome assembly chaperone 4; KCNMB2, ball and chain domain	13	SUPERFAMILY; SMART; Pfam; PANTHER; Gene3D	SSF55753; SM00262; PF00626; PTHR11977; G3DSA:3.40.20.10	Actin depolymerizing proteins; VILL_6; Gelsolin repeat; VILLIN; Severin	IPR007122; IPR007123; IPR029006	Villin/Gelsolin; Gelsolin-like domain; ADF-H/Gelsolin-like domain superfamily	9	hypothetical protein; Gelsolin repeat; Domain of unknown function (DUF7904); MPK1 gelsolin domain C-terminal; Domain of unknown function (DUF6242); S-layer like family, outer domain; Proteasome assembly chaperone 4; KCNMB2, ball and chain domain; Actin depolymerizing proteins; VILL_6; Gelsolin repeat; VILLIN; Severin; Villin/Gelsolin; Gelsolin-like domain; ADF-H/Gelsolin-like domain superfamily; Gelsolin; DUF7904; MPK1_gelsolin_C; DUF6242; S_layer_C; PAC4; KcnmB2_inactiv; SUPERFAMILY; SMART; Pfam; PANTHER; Gene3D	TRUE	Structural/Other	Structural/Other		FALSE	Structural/Other	Structural/Other
RvY_01402-1	NA	GAU88765.1	hypothetical protein	exact_gene	-0.0236178691290201	2.27234212830339	Trypsin; DUF1986	PF00089.32; PF09342.17	Trypsin; Domain of unknown function (DUF1986)	2	SUPERFAMILY; CDD; FunFam; Gene3D; SMART; ProSiteProfiles; Pfam; PRINTS; ProSitePatterns; PANTHER	SSF50494; cd00190; G3DSA:2.40.10.10:FF:000038; G3DSA:2.40.10.10; SM00020; PS50240; PF00089; PR00722; PS00134; PTHR24256	Trypsin-like serine proteases; Tryp_SPc; Serine protease; trypsin_2; Serine proteases, trypsin domain profile.; Trypsin; Chymotrypsin serine protease family (S1) signature; Serine proteases, trypsin family, histidine active site.; TRYPTASE-RELATED	IPR009003; IPR001254; IPR043504; IPR001314; IPR018114	Peptidase S1, PA clan; Serine proteases, trypsin domain; Peptidase S1, PA clan, chymotrypsin-like fold; Peptidase S1A, chymotrypsin family; Serine proteases, trypsin family, histidine active site	12	hypothetical protein; Trypsin; Domain of unknown function (DUF1986); Trypsin-like serine proteases; Tryp_SPc; Serine protease; trypsin_2; Serine proteases, trypsin domain profile.; Trypsin; Chymotrypsin serine protease family (S1) signature; Serine proteases, trypsin family, histidine active site.; TRYPTASE-RELATED; Peptidase S1, PA clan; Serine proteases, trypsin domain; Peptidase S1, PA clan, chymotrypsin-like fold; Peptidase S1A, chymotrypsin family; Serine proteases, trypsin family, histidine active site; Trypsin; DUF1986; SUPERFAMILY; CDD; FunFam; Gene3D; SMART; ProSiteProfiles; Pfam; PRINTS; ProSitePatterns; PANTHER	TRUE	Proteolysis	Proteolysis		FALSE	Proteolysis	Proteolysis
RvY_02577-1	NA	GAU90111.1	hypothetical protein	exact_gene	-0.00793932494116234	2.23588100438094	Rrn7_cyclin_C; Rrn7_cyclin_N	PF20645.2; PF20644.2	Rrn7/TAF1B, C-terminal cyclin domain; Rrn7/TAF1B, N-terminal cyclin domain	2	Pfam; PANTHER	PF20645; PTHR31576	Rrn7/TAF1B, C-terminal cyclin domain; TATA BOX-BINDING PROTEIN-ASSOCIATED FACTOR RNA POLYMERASE I SUBUNIT B	IPR048538; IPR033599	Rrn7/TAF1B, C-terminal cyclin domain; RNA polymerase I transcription initiation factor TAF1B/Rrn7	2	hypothetical protein; Rrn7/TAF1B, C-terminal cyclin domain; Rrn7/TAF1B, N-terminal cyclin domain; Rrn7/TAF1B, C-terminal cyclin domain; TATA BOX-BINDING PROTEIN-ASSOCIATED FACTOR RNA POLYMERASE I SUBUNIT B; Rrn7/TAF1B, C-terminal cyclin domain; RNA polymerase I transcription initiation factor TAF1B/Rrn7; Rrn7_cyclin_C; Rrn7_cyclin_N; Pfam; PANTHER	TRUE	Regulation/Nucleic-acid associated	Regulation/Nucleic-acid associated		FALSE	Regulation/Nucleic-acid associated	Regulation/Nucleic-acid associated
RvY_17017-1	NA	GAV07142.1	hypothetical protein	exact_gene	0.0575995411893686	2.2280556087764	Cyclase	PF04199.19	Putative cyclase	1	Pfam; SUPERFAMILY; PANTHER; Gene3D; MobiDBLite	PF04199; SSF102198; PTHR31118; G3DSA:3.50.30.50; mobidb-lite	Putative cyclase; CYCLASE-LIKE PROTEIN 2; consensus disorder prediction	IPR007325; IPR037175	Kynurenine formamidase/cyclase-like; Kynurenine formamidase superfamily	6	hypothetical protein; Putative cyclase; Putative cyclase; CYCLASE-LIKE PROTEIN 2; consensus disorder prediction; Kynurenine formamidase/cyclase-like; Kynurenine formamidase superfamily; Cyclase; Pfam; SUPERFAMILY; PANTHER; Gene3D; MobiDBLite	TRUE	Generic domain proteins	Generic domain proteins		FALSE	Generic domain proteins	Generic domain proteins
RvY_10146-1	NA	GAU99102.1	hypothetical protein	exact_gene	-0.0434403723108883	2.21946447808165	I-set; fn3; Ig_3; FN3_DSCAM-DSCAML_C; V-set	PF07679.22; PF00041.27; PF13927.12; PF25059.1; PF07686.23	Immunoglobulin I-set domain; Fibronectin type III domain; Immunoglobulin domain; DSCAM/DSCAML C-terminal Fn3-like domain; Immunoglobulin V-set domain	8	Gene3D; SMART; SUPERFAMILY; CDD; Pfam; ProSiteProfiles	G3DSA:2.60.40.10; SM00409; SSF48726; cd00063; PF07679; PS50835; SSF49265	Immunoglobulins; IG_3c; Immunoglobulin; FN3; Immunoglobulin I-set domain; Ig-like domain profile.; Fibronectin type III	IPR013783; IPR003599; IPR036179; IPR003961; IPR013098; IPR007110; IPR036116	Immunoglobulin-like fold; Immunoglobulin subtype; Immunoglobulin-like domain superfamily; Fibronectin type III; Immunoglobulin I-set; Immunoglobulin-like domain; Fibronectin type III superfamily	8	hypothetical protein; Immunoglobulin I-set domain; Fibronectin type III domain; Immunoglobulin domain; DSCAM/DSCAML C-terminal Fn3-like domain; Immunoglobulin V-set domain; Immunoglobulins; IG_3c; Immunoglobulin; FN3; Immunoglobulin I-set domain; Ig-like domain profile.; Fibronectin type III; Immunoglobulin-like fold; Immunoglobulin subtype; Immunoglobulin-like domain superfamily; Fibronectin type III; Immunoglobulin I-set; Immunoglobulin-like domain; Fibronectin type III superfamily; I-set; fn3; Ig_3; FN3_DSCAM-DSCAML_C; V-set; Gene3D; SMART; SUPERFAMILY; CDD; Pfam; ProSiteProfiles	TRUE	Generic domain proteins	Generic domain proteins		FALSE	Generic domain proteins	Generic domain proteins
