cds_header,cds_seqname,gene,locus_tag,protein_desc_from_cds,protein_id,gene_base,locus_base,protein_header,protein_desc_from_protein,protein_present_in_faa
"lcl|BDGG01000001.1_cds_GAU87103.1_1 [gene=RvY_00001-1] [locus_tag=RvY_00001] [protein=hypothetical protein] [protein_id=GAU87103.1] [location=join(65..242,441..704,934..1359,1853..2382)] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87103.1_1,RvY_00001-1,RvY_00001,hypothetical protein,GAU87103.1,RvY_00001,RvY_00001,GAU87103.1 hypothetical protein RvY_00001 [Ramazzottius varieornatus],hypothetical protein RvY_00001,TRUE
lcl|BDGG01000001.1_cds_GAU87104.1_2 [gene=RvY_00002-1] [locus_tag=RvY_00002] [protein=hypothetical protein] [protein_id=GAU87104.1] [location=4113..4340] [gbkey=CDS],lcl|BDGG01000001.1_cds_GAU87104.1_2,RvY_00002-1,RvY_00002,hypothetical protein,GAU87104.1,RvY_00002,RvY_00002,GAU87104.1 hypothetical protein RvY_00002 [Ramazzottius varieornatus],hypothetical protein RvY_00002,TRUE
lcl|BDGG01000001.1_cds_GAU87105.1_3 [gene=RvY_00003-1] [locus_tag=RvY_00003] [protein=hypothetical protein] [protein_id=GAU87105.1] [location=complement(5019..5231)] [gbkey=CDS],lcl|BDGG01000001.1_cds_GAU87105.1_3,RvY_00003-1,RvY_00003,hypothetical protein,GAU87105.1,RvY_00003,RvY_00003,GAU87105.1 hypothetical protein RvY_00003 [Ramazzottius varieornatus],hypothetical protein RvY_00003,TRUE
"lcl|BDGG01000001.1_cds_GAU87106.1_4 [gene=RvY_00004-1] [locus_tag=RvY_00004] [protein=hypothetical protein] [protein_id=GAU87106.1] [location=join(5486..5652,5729..5805,5876..6095,6172..6418,6943..7239)] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87106.1_4,RvY_00004-1,RvY_00004,hypothetical protein,GAU87106.1,RvY_00004,RvY_00004,GAU87106.1 hypothetical protein RvY_00004 [Ramazzottius varieornatus],hypothetical protein RvY_00004,TRUE
"lcl|BDGG01000001.1_cds_GAU87107.1_5 [gene=RvY_00005] [locus_tag=RvY_00005-1] [protein=hypothetical protein] [protein_id=GAU87107.1] [location=complement(join(8172..8204,8309..8400,8481..8631,8821..9119,9553..9832))] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87107.1_5,RvY_00005,RvY_00005-1,hypothetical protein,GAU87107.1,RvY_00005,RvY_00005,GAU87107.1 hypothetical protein RvY_00005-1 [Ramazzottius varieornatus],hypothetical protein RvY_00005-1,TRUE
"lcl|BDGG01000001.1_cds_GAU87108.1_6 [gene=RvY_00005] [locus_tag=RvY_00005-2] [protein=hypothetical protein] [protein_id=GAU87108.1] [location=complement(join(8823..9119,9553..9735))] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87108.1_6,RvY_00005,RvY_00005-2,hypothetical protein,GAU87108.1,RvY_00005,RvY_00005,GAU87108.1 hypothetical protein RvY_00005-2 [Ramazzottius varieornatus],hypothetical protein RvY_00005-2,TRUE
"lcl|BDGG01000001.1_cds_GAU87109.1_7 [gene=RvY_00006-1] [locus_tag=RvY_00006] [protein=LMBR1-1] [protein_id=GAU87109.1] [location=join(9972..10182,10492..10613,10863..11107,11161..11328,11587..11797,11861..11938,11998..12322,12617..12798,13366..13567,14189..14382)] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87109.1_7,RvY_00006-1,RvY_00006,LMBR1-1,GAU87109.1,RvY_00006,RvY_00006,GAU87109.1 LMBR1-1 [Ramazzottius varieornatus],LMBR1-1,TRUE
lcl|BDGG01000001.1_cds_GAU87110.1_8 [gene=RvY_00007-1] [locus_tag=RvY_00007] [protein=hypothetical protein] [protein_id=GAU87110.1] [location=14501..14716] [gbkey=CDS],lcl|BDGG01000001.1_cds_GAU87110.1_8,RvY_00007-1,RvY_00007,hypothetical protein,GAU87110.1,RvY_00007,RvY_00007,GAU87110.1 hypothetical protein RvY_00007 [Ramazzottius varieornatus],hypothetical protein RvY_00007,TRUE
"lcl|BDGG01000001.1_cds_GAU87111.1_9 [gene=RvY_00008-1] [locus_tag=RvY_00008] [protein=hypothetical protein] [protein_id=GAU87111.1] [location=complement(join(14958..15157,15523..15885,16158..16242,16332..16465,16561..16809,17101..17324,17402..17685))] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87111.1_9,RvY_00008-1,RvY_00008,hypothetical protein,GAU87111.1,RvY_00008,RvY_00008,GAU87111.1 hypothetical protein RvY_00008 [Ramazzottius varieornatus],hypothetical protein RvY_00008,TRUE
lcl|BDGG01000001.1_cds_GAU87112.1_10 [gene=RvY_00009-1] [locus_tag=RvY_00009] [protein=hypothetical protein] [protein_id=GAU87112.1] [location=complement(18207..19322)] [gbkey=CDS],lcl|BDGG01000001.1_cds_GAU87112.1_10,RvY_00009-1,RvY_00009,hypothetical protein,GAU87112.1,RvY_00009,RvY_00009,GAU87112.1 hypothetical protein RvY_00009 [Ramazzottius varieornatus],hypothetical protein RvY_00009,TRUE
lcl|BDGG01000001.1_cds_GAU87113.1_11 [gene=RvY_00010-1] [locus_tag=RvY_00010] [protein=hypothetical protein] [protein_id=GAU87113.1] [location=19823..21163] [gbkey=CDS],lcl|BDGG01000001.1_cds_GAU87113.1_11,RvY_00010-1,RvY_00010,hypothetical protein,GAU87113.1,RvY_00010,RvY_00010,GAU87113.1 hypothetical protein RvY_00010 [Ramazzottius varieornatus],hypothetical protein RvY_00010,TRUE
"lcl|BDGG01000001.1_cds_GAU87114.1_12 [gene=RvY_00011-1] [locus_tag=RvY_00011] [protein=hypothetical protein] [protein_id=GAU87114.1] [location=join(21356..21555,21643..21814,22112..22235,22307..22462,22821..22951)] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87114.1_12,RvY_00011-1,RvY_00011,hypothetical protein,GAU87114.1,RvY_00011,RvY_00011,GAU87114.1 hypothetical protein RvY_00011 [Ramazzottius varieornatus],hypothetical protein RvY_00011,TRUE
"lcl|BDGG01000001.1_cds_GAU87115.1_13 [gene=RvY_00012-1] [locus_tag=RvY_00012] [protein=hypothetical protein] [protein_id=GAU87115.1] [location=complement(join(24257..24573,24691..25189))] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87115.1_13,RvY_00012-1,RvY_00012,hypothetical protein,GAU87115.1,RvY_00012,RvY_00012,GAU87115.1 hypothetical protein RvY_00012 [Ramazzottius varieornatus],hypothetical protein RvY_00012,TRUE
"lcl|BDGG01000001.1_cds_GAU87116.1_14 [gene=RvY_00013-1] [locus_tag=RvY_00013] [protein=hypothetical protein] [protein_id=GAU87116.1] [location=join(25451..25466,26021..26448)] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87116.1_14,RvY_00013-1,RvY_00013,hypothetical protein,GAU87116.1,RvY_00013,RvY_00013,GAU87116.1 hypothetical protein RvY_00013 [Ramazzottius varieornatus],hypothetical protein RvY_00013,TRUE
"lcl|BDGG01000001.1_cds_GAU87117.1_15 [gene=RvY_00014-1] [locus_tag=RvY_00014] [protein=hypothetical protein] [protein_id=GAU87117.1] [location=complement(join(26790..27257,27482..27549,27612..27720,27802..27881,28312..28456,28528..28585,28800..28939))] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87117.1_15,RvY_00014-1,RvY_00014,hypothetical protein,GAU87117.1,RvY_00014,RvY_00014,GAU87117.1 hypothetical protein RvY_00014 [Ramazzottius varieornatus],hypothetical protein RvY_00014,TRUE
"lcl|BDGG01000001.1_cds_GAU87118.1_16 [gene=RvY_00015-1] [locus_tag=RvY_00015] [protein=hypothetical protein] [protein_id=GAU87118.1] [location=join(29573..29773,29848..30081,30333..30611,30754..31446)] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87118.1_16,RvY_00015-1,RvY_00015,hypothetical protein,GAU87118.1,RvY_00015,RvY_00015,GAU87118.1 hypothetical protein RvY_00015 [Ramazzottius varieornatus],hypothetical protein RvY_00015,TRUE
"lcl|BDGG01000001.1_cds_GAU87119.1_17 [gene=RvY_00016-1] [locus_tag=RvY_00016] [protein=hypothetical protein] [protein_id=GAU87119.1] [location=complement(join(31523..31728,31885..32032))] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87119.1_17,RvY_00016-1,RvY_00016,hypothetical protein,GAU87119.1,RvY_00016,RvY_00016,GAU87119.1 hypothetical protein RvY_00016 [Ramazzottius varieornatus],hypothetical protein RvY_00016,TRUE
"lcl|BDGG01000001.1_cds_GAU87120.1_18 [gene=RvY_00017-1] [locus_tag=RvY_00017] [protein=hypothetical protein] [protein_id=GAU87120.1] [location=join(32291..32688,32977..33124,33191..33538,33612..33734,33994..34168,34252..34400,34550..34966)] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87120.1_18,RvY_00017-1,RvY_00017,hypothetical protein,GAU87120.1,RvY_00017,RvY_00017,GAU87120.1 hypothetical protein RvY_00017 [Ramazzottius varieornatus],hypothetical protein RvY_00017,TRUE
"lcl|BDGG01000001.1_cds_GAU87121.1_19 [gene=RvY_00018-1] [locus_tag=RvY_00018] [protein=hypothetical protein] [protein_id=GAU87121.1] [location=join(35401..35919,36192..36443)] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87121.1_19,RvY_00018-1,RvY_00018,hypothetical protein,GAU87121.1,RvY_00018,RvY_00018,GAU87121.1 hypothetical protein RvY_00018 [Ramazzottius varieornatus],hypothetical protein RvY_00018,TRUE
